n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.0539,0.0256,0.0746,0.0457,0.0193,0.0849,0.0432,0.0314,0.0885,0.0596,0.0436,0.1172,0.0529,0.0294,0.0867
16,4x3,likert5B,0,0,0,0.0037,0.0034,0.0429,0.0153,0.0256,0.0333,0.0169,0.0184,0.0446,0.0524,0.0315,0.0542,0.0168,0.0193,0.0375
16,4x3,likert5B,0,0,0,0.0268,0.0125,0.0602,0.0344,0.0028,0.0925,0.0425,0.0059,0.0927,0.0294,0.0032,0.103,0.0367,0.0035,0.0893
16,4x3,likert5B,0,0,0,0.008,0.0213,0.0177,0.0158,0.0074,0.0139,0.0135,0.0068,0.0054,0.0615,0.0246,0.0516,0.0153,0.0068,0.0109
16,4x3,likert5B,0,0,0,0.0433,0.0061,0.0244,0.036,0.0096,0.0204,0.0365,0.0082,0.0263,0.0415,0.0473,0.0296,0.0363,0.0096,0.022
16,4x3,likert5B,0,0,0,0.0029,0.0014,0.0334,0.0254,0.0012,0.0386,0.0286,0.0027,0.0369,0.0382,0.0018,0.049,0.0313,0.003,0.0411
16,4x3,likert5B,0,0,0,0.0244,0.0332,0.0144,0.0118,0.0089,0.0391,0.0102,0.0175,0.0338,0.0145,0.0099,0.0248,0.0082,0.0118,0.0359
16,4x3,likert5B,0,0,0,0.0142,0.021,0.0683,0.0058,0.0162,0.0272,0.0039,0.0143,0.0339,0.0049,0.0161,0.0471,0.0044,0.0181,0.0325
16,4x3,likert5B,0,0,0,0.0176,0.0114,0.0708,0.0151,0.0096,0.0633,0.0143,0.0087,0.0634,0.0134,0.0002,0.0641,0.0126,0.013,0.0666
16,4x3,likert5B,0,0,0,0.0068,0.0117,0.0305,0.009,0.0366,0.0213,0.0154,0.0308,0.0191,0.0205,0.0246,0.0225,0.01,0.0332,0.023
16,4x3,likert5B,0,0,0,0.0141,0.0038,0.0461,0.0045,0.0127,0.0705,0.002,0.0066,0.093,0.0086,0.0098,0.0535,0.0016,0.0068,0.0784
16,4x3,likert5B,0,0,0,0.0182,0.0234,0.0068,0.0376,0.0236,0.0347,0.0251,0.0275,0.0246,0.0195,0.0153,0.0248,0.0335,0.0277,0.0321
16,4x3,likert5B,0,0,0,0.008,0.0341,0.0311,0.0184,0.0315,0.0202,0.0303,0.0435,0.0216,0.0315,0.0293,0.0394,0.0214,0.0356,0.0217
16,4x3,likert5B,0,0,0,0.004,0.0002,0.0469,0.0175,0.0042,0.0333,0.0162,0.0108,0.0288,0.0208,0.004,0.0262,0.0167,0.0055,0.0312
16,4x3,likert5B,0,0,0,0.0153,0.0233,0.0288,0.0039,0.0173,0.0615,0.0045,0.0179,0.067,0.0233,0.0244,0.0983,0.0044,0.0082,0.0649
16,4x3,likert5B,0,0,0,0.0054,0.0111,0.0043,0.0153,0.0007,0.039,0.0062,0.0038,0.0333,0.0376,0.0044,0.0351,0.0045,0.0024,0.0356
16,4x3,likert5B,0,0,0,0.0155,0.0114,0.0305,0.0094,0.0107,0.0377,0.0114,0.0104,0.0286,0.014,0.016,0.0388,0.0093,0.0109,0.0354
16,4x3,likert5B,0,0,0,0.008,0.0027,0.0204,0.0098,0.0029,0.0871,0.0061,0.0019,0.0438,0.0969,0.0768,0.0847,0.0076,0.0034,0.0649
16,4x3,likert5B,0,0,0,0.0066,0.0183,0.0287,0.0036,0.0218,0.0119,0.0037,0.0212,0.0204,0.0086,0.0323,0.0109,0.0019,0.0213,0.014
16,4x3,likert5B,0,0,0,0.0264,0.0156,0.0628,0.027,0.0043,0.0738,0.0299,0.0049,0.0858,0.0348,0.0092,0.101,0.0261,0.0038,0.0738
