n,design,family,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,likert_7,1.5,ART,0.01,0,0,0,0.0144,0.0126,0.017
20,4x3,likert_7,1.5,INT,0.01,0,0,0,0.011,0.0104,0.0126
20,4x3,likert_7,2,PAR,0.05,0,0,0,0.0522,0.049,0.0526
20,4x3,likert_7,2,RNK,0.05,0,0,0,0.0534,0.0466,0.0502
20,4x3,likert_7,2,ART,0.05,0,0,0,0.0612,0.073,0.065
20,4x3,likert_7,2,INT,0.05,0,0,0,0.049,0.048,0.0522
20,4x3,likert_7,2,PAR,0.01,0,0,0,0.0122,0.0064,0.012
20,4x3,likert_7,2,RNK,0.01,0,0,0,0.0112,0.0062,0.0122
20,4x3,likert_7,2,ART,0.01,0,0,0,0.0154,0.0162,0.016
20,4x3,likert_7,2,INT,0.01,0,0,0,0.0112,0.0064,0.012
20,4x3,likert_7,2.5,PAR,0.05,0,0,0,0.0546,0.0466,0.0536
20,4x3,likert_7,2.5,RNK,0.05,0,0,0,0.058,0.0492,0.051
20,4x3,likert_7,2.5,ART,0.05,0,0,0,0.0696,0.093,0.0748
20,4x3,likert_7,2.5,INT,0.05,0,0,0,0.0504,0.0484,0.055
20,4x3,likert_7,2.5,PAR,0.01,0,0,0,0.0122,0.011,0.0138
20,4x3,likert_7,2.5,RNK,0.01,0,0,0,0.011,0.0098,0.0126
20,4x3,likert_7,2.5,ART,0.01,0,0,0,0.0158,0.026,0.0184
20,4x3,likert_7,2.5,INT,0.01,0,0,0,0.0112,0.0116,0.0138
20,4x3,likert_7,3,PAR,0.05,0,0,0,0.0648,0.0478,0.0568
20,4x3,likert_7,3,RNK,0.05,0,0,0,0.0662,0.0504,0.0522
20,4x3,likert_7,3,ART,0.05,0,0,0,0.0734,0.1028,0.0838
20,4x3,likert_7,3,INT,0.05,0,0,0,0.0586,0.049,0.058
20,4x3,likert_7,3,PAR,0.01,0,0,0,0.0192,0.0114,0.0182
20,4x3,likert_7,3,RNK,0.01,0,0,0,0.0184,0.011,0.0138
20,4x3,likert_7,3,ART,0.01,0,0,0,0.0242,0.0298,0.024
20,4x3,likert_7,3,INT,0.01,0,0,0,0.0164,0.0104,0.017
20,4x3,likert_7_flex,1,PAR,0.05,0,0,0,0.0532,0.049,0.0518
20,4x3,likert_7_flex,1,RNK,0.05,0,0,0,0.0526,0.0518,0.051
20,4x3,likert_7_flex,1,ART,0.05,0,0,0,0.1,0.094,0.0806
20,4x3,likert_7_flex,1,INT,0.05,0,0,0,0.0498,0.0484,0.0508
20,4x3,likert_7_flex,1,PAR,0.01,0,0,0,0.0112,0.0102,0.0096
20,4x3,likert_7_flex,1,RNK,0.01,0,0,0,0.0122,0.0096,0.0104
20,4x3,likert_7_flex,1,ART,0.01,0,0,0,0.0318,0.0268,0.0224
20,4x3,likert_7_flex,1,INT,0.01,0,0,0,0.0112,0.0106,0.0108
20,4x3,likert_7_flex,1.5,PAR,0.05,0,0,0,0.0758,0.0474,0.0552
20,4x3,likert_7_flex,1.5,RNK,0.05,0,0,0,0.0558,0.0532,0.0552
20,4x3,likert_7_flex,1.5,ART,0.05,0,0,0,0.1048,0.1116,0.102
20,4x3,likert_7_flex,1.5,INT,0.05,0,0,0,0.0596,0.053,0.0558
20,4x3,likert_7_flex,1.5,PAR,0.01,0,0,0,0.0208,0.0114,0.0136
20,4x3,likert_7_flex,1.5,RNK,0.01,0,0,0,0.0106,0.0112,0.0128
20,4x3,likert_7_flex,1.5,ART,0.01,0,0,0,0.0338,0.04,0.0348
20,4x3,likert_7_flex,1.5,INT,0.01,0,0,0,0.0122,0.0112,0.0128
20,4x3,likert_7_flex,2,PAR,0.05,0,0,0,0.1438,0.0516,0.057
20,4x3,likert_7_flex,2,RNK,0.05,0,0,0,0.0782,0.0494,0.055
20,4x3,likert_7_flex,2,ART,0.05,0,0,0,0.1376,0.1486,0.1144
20,4x3,likert_7_flex,2,INT,0.05,0,0,0,0.0784,0.0502,0.058
20,4x3,likert_7_flex,2,PAR,0.01,0,0,0,0.0534,0.0104,0.0158
20,4x3,likert_7_flex,2,RNK,0.01,0,0,0,0.0228,0.0114,0.0128
20,4x3,likert_7_flex,2,ART,0.01,0,0,0,0.0544,0.0636,0.0444
20,4x3,likert_7_flex,2,INT,0.01,0,0,0,0.0252,0.0098,0.014
20,4x3,likert_7_flex,2.5,PAR,0.05,0,0,0,0.1842,0.0592,0.0638
20,4x3,likert_7_flex,2.5,RNK,0.05,0,0,0,0.0822,0.059,0.0618
20,4x3,likert_7_flex,2.5,ART,0.05,0,0,0,0.1518,0.1924,0.1416
20,4x3,likert_7_flex,2.5,INT,0.05,0,0,0,0.0816,0.0578,0.066
20,4x3,likert_7_flex,2.5,PAR,0.01,0,0,0,0.0716,0.0114,0.0166
20,4x3,likert_7_flex,2.5,RNK,0.01,0,0,0,0.023,0.0128,0.0158
20,4x3,likert_7_flex,2.5,ART,0.01,0,0,0,0.0616,0.0838,0.0592
20,4x3,likert_7_flex,2.5,INT,0.01,0,0,0,0.0256,0.011,0.0166
20,4x3,likert_7_flex,3,PAR,0.05,0,0,0,0.2414,0.0484,0.062
20,4x3,likert_7_flex,3,RNK,0.05,0,0,0,0.1076,0.0498,0.0544
20,4x3,likert_7_flex,3,ART,0.05,0,0,0,0.1828,0.2168,0.1484
20,4x3,likert_7_flex,3,INT,0.05,0,0,0,0.1046,0.0498,0.0582
20,4x3,likert_7_flex,3,PAR,0.01,0,0,0,0.1246,0.0102,0.0168
20,4x3,likert_7_flex,3,RNK,0.01,0,0,0,0.0378,0.0108,0.0146
20,4x3,likert_7_flex,3,ART,0.01,0,0,0,0.0828,0.0988,0.0616
20,4x3,likert_7_flex,3,INT,0.01,0,0,0,0.0402,0.0098,0.0148
20,2x3,norm,1,PAR,0.05,0,0,0,0.0508,0.0468,0.0566
20,2x3,norm,1,RNK,0.05,0,0,0,0.0484,0.051,0.0534
20,2x3,norm,1,ART,0.05,0,0,0,0.0486,0.0498,0.053
20,2x3,norm,1,INT,0.05,0,0,0,0.0502,0.0468,0.0572
20,2x3,norm,1,PAR,0.01,0,0,0,0.01,0.0098,0.0092
20,2x3,norm,1,RNK,0.01,0,0,0,0.0102,0.0104,0.0092
20,2x3,norm,1,ART,0.01,0,0,0,0.0096,0.0108,0.0104
20,2x3,norm,1,INT,0.01,0,0,0,0.01,0.01,0.009
20,2x3,norm,1.5,PAR,0.05,0,0,0,0.0478,0.047,0.0494
20,2x3,norm,1.5,RNK,0.05,0,0,0,0.0502,0.0468,0.0484
20,2x3,norm,1.5,ART,0.05,0,0,0,0.0516,0.0546,0.0566
20,2x3,norm,1.5,INT,0.05,0,0,0,0.0448,0.047,0.051
20,2x3,norm,1.5,PAR,0.01,0,0,0,0.0106,0.0096,0.0104
20,2x3,norm,1.5,RNK,0.01,0,0,0,0.0116,0.0116,0.0108
20,2x3,norm,1.5,ART,0.01,0,0,0,0.0124,0.0128,0.0132
20,2x3,norm,1.5,INT,0.01,0,0,0,0.0098,0.0106,0.0102
20,2x3,norm,2,PAR,0.05,0,0,0,0.0482,0.051,0.049
20,2x3,norm,2,RNK,0.05,0,0,0,0.0552,0.0532,0.0496
20,2x3,norm,2,ART,0.05,0,0,0,0.0568,0.084,0.0754
20,2x3,norm,2,INT,0.05,0,0,0,0.0362,0.0512,0.0514
20,2x3,norm,2,PAR,0.01,0,0,0,0.009,0.0114,0.0112
20,2x3,norm,2,RNK,0.01,0,0,0,0.0118,0.0108,0.0118
20,2x3,norm,2,ART,0.01,0,0,0,0.0114,0.02,0.02
20,2x3,norm,2,INT,0.01,0,0,0,0.0062,0.0118,0.0114
20,2x3,norm,2.5,PAR,0.05,0,0,0,0.052,0.0496,0.0456
20,2x3,norm,2.5,RNK,0.05,0,0,0,0.0632,0.048,0.0496
20,2x3,norm,2.5,ART,0.05,0,0,0,0.0642,0.0908,0.0916
20,2x3,norm,2.5,INT,0.05,0,0,0,0.0378,0.05,0.0476
20,2x3,norm,2.5,PAR,0.01,0,0,0,0.0094,0.0094,0.009
20,2x3,norm,2.5,RNK,0.01,0,0,0,0.0156,0.0076,0.01
20,2x3,norm,2.5,ART,0.01,0,0,0,0.0142,0.0218,0.0244
20,2x3,norm,2.5,INT,0.01,0,0,0,0.006,0.0102,0.0102
20,2x3,norm,3,PAR,0.05,0,0,0,0.0556,0.0542,0.0538
20,2x3,norm,3,RNK,0.05,0,0,0,0.064,0.0536,0.048
20,2x3,norm,3,ART,0.05,0,0,0,0.0628,0.1254,0.1196
20,2x3,norm,3,INT,0.05,0,0,0,0.036,0.0554,0.054
20,2x3,norm,3,PAR,0.01,0,0,0,0.0116,0.0114,0.0116
20,2x3,norm,3,RNK,0.01,0,0,0,0.0172,0.0112,0.0112
20,2x3,norm,3,ART,0.01,0,0,0,0.0156,0.0366,0.0376
20,2x3,norm,3,INT,0.01,0,0,0,0.006,0.0114,0.0108
20,2x3,likert_5,1,PAR,0.05,0,0,0,0.0518,0.0486,0.0482
20,2x3,likert_5,1,RNK,0.05,0,0,0,0.0526,0.048,0.0462
20,2x3,likert_5,1,ART,0.05,0,0,0,0.0706,0.05,0.0506
20,2x3,likert_5,1,INT,0.05,0,0,0,0.0538,0.0482,0.0456
20,2x3,likert_5,1,PAR,0.01,0,0,0,0.0102,0.01,0.0096
20,2x3,likert_5,1,RNK,0.01,0,0,0,0.0118,0.0096,0.0104
20,2x3,likert_5,1,ART,0.01,0,0,0,0.0182,0.0108,0.0126
20,2x3,likert_5,1,INT,0.01,0,0,0,0.01,0.0094,0.0096
20,2x3,likert_5,1.5,PAR,0.05,0,0,0,0.0494,0.0486,0.0568
20,2x3,likert_5,1.5,RNK,0.05,0,0,0,0.0516,0.0476,0.0578
20,2x3,likert_5,1.5,ART,0.05,0,0,0,0.074,0.0578,0.07
20,2x3,likert_5,1.5,INT,0.05,0,0,0,0.0462,0.05,0.0558
20,2x3,likert_5,1.5,PAR,0.01,0,0,0,0.011,0.011,0.0104
20,2x3,likert_5,1.5,RNK,0.01,0,0,0,0.011,0.0112,0.0108
20,2x3,likert_5,1.5,ART,0.01,0,0,0,0.0186,0.014,0.016
20,2x3,likert_5,1.5,INT,0.01,0,0,0,0.0098,0.0112,0.0102
20,2x3,likert_5,2,PAR,0.05,0,0,0,0.0474,0.0504,0.0578
20,2x3,likert_5,2,RNK,0.05,0,0,0,0.0572,0.0542,0.0564
20,2x3,likert_5,2,ART,0.05,0,0,0,0.0768,0.0786,0.087
20,2x3,likert_5,2,INT,0.05,0,0,0,0.0426,0.0498,0.059
20,2x3,likert_5,2,PAR,0.01,0,0,0,0.011,0.012,0.012
20,2x3,likert_5,2,RNK,0.01,0,0,0,0.0136,0.0116,0.0118
20,2x3,likert_5,2,ART,0.01,0,0,0,0.021,0.0186,0.0204
20,2x3,likert_5,2,INT,0.01,0,0,0,0.0074,0.0118,0.012
20,2x3,likert_5,2.5,PAR,0.05,0,0,0,0.0494,0.0522,0.05
20,2x3,likert_5,2.5,RNK,0.05,0,0,0,0.0582,0.0494,0.0512
20,2x3,likert_5,2.5,ART,0.05,0,0,0,0.0776,0.1026,0.1054
20,2x3,likert_5,2.5,INT,0.05,0,0,0,0.0402,0.0528,0.0492
20,2x3,likert_5,2.5,PAR,0.01,0,0,0,0.0112,0.0116,0.0106
20,2x3,likert_5,2.5,RNK,0.01,0,0,0,0.013,0.0112,0.0106
20,2x3,likert_5,2.5,ART,0.01,0,0,0,0.021,0.0294,0.0312
20,2x3,likert_5,2.5,INT,0.01,0,0,0,0.0076,0.0118,0.0106
20,2x3,likert_5,3,PAR,0.05,0,0,0,0.0552,0.051,0.0548
20,2x3,likert_5,3,RNK,0.05,0,0,0,0.0714,0.0488,0.0546
20,2x3,likert_5,3,ART,0.05,0,0,0,0.0964,0.1274,0.1296
20,2x3,likert_5,3,INT,0.05,0,0,0,0.0436,0.0494,0.0534
20,2x3,likert_5,3,PAR,0.01,0,0,0,0.0124,0.0106,0.0136
20,2x3,likert_5,3,RNK,0.01,0,0,0,0.0172,0.0092,0.0118
20,2x3,likert_5,3,ART,0.01,0,0,0,0.0266,0.0332,0.0432
20,2x3,likert_5,3,INT,0.01,0,0,0,0.0082,0.0106,0.0132
20,2x3,likert_5_flex,1,PAR,0.05,0,0,0,0.052,0.0456,0.0476
20,2x3,likert_5_flex,1,RNK,0.05,0,0,0,0.0524,0.0468,0.0482
20,2x3,likert_5_flex,1,ART,0.05,0,0,0,0.1222,0.0536,0.0736
20,2x3,likert_5_flex,1,INT,0.05,0,0,0,0.053,0.0472,0.0474
20,2x3,likert_5_flex,1,PAR,0.01,0,0,0,0.008,0.0102,0.0096
20,2x3,likert_5_flex,1,RNK,0.01,0,0,0,0.0092,0.0102,0.0102
20,2x3,likert_5_flex,1,ART,0.01,0,0,0,0.0494,0.0114,0.0226
20,2x3,likert_5_flex,1,INT,0.01,0,0,0,0.0088,0.0098,0.0096
20,2x3,likert_5_flex,1.5,PAR,0.05,0,0,0,0.0998,0.0594,0.0522
20,2x3,likert_5_flex,1.5,RNK,0.05,0,0,0,0.0668,0.0546,0.0524
20,2x3,likert_5_flex,1.5,ART,0.05,0,0,0,0.144,0.082,0.1032
20,2x3,likert_5_flex,1.5,INT,0.05,0,0,0,0.0686,0.0592,0.0496
20,2x3,likert_5_flex,1.5,PAR,0.01,0,0,0,0.0278,0.0114,0.0122
20,2x3,likert_5_flex,1.5,RNK,0.01,0,0,0,0.0168,0.013,0.0108
20,2x3,likert_5_flex,1.5,ART,0.01,0,0,0,0.0616,0.024,0.0382
20,2x3,likert_5_flex,1.5,INT,0.01,0,0,0,0.0174,0.0114,0.0112
20,2x3,likert_5_flex,2,PAR,0.05,0,0,0,0.1996,0.057,0.0528
20,2x3,likert_5_flex,2,RNK,0.05,0,0,0,0.11,0.0556,0.0524
20,2x3,likert_5_flex,2,ART,0.05,0,0,0,0.193,0.1264,0.138
20,2x3,likert_5_flex,2,INT,0.05,0,0,0,0.1112,0.0554,0.0524
20,2x3,likert_5_flex,2,PAR,0.01,0,0,0,0.0748,0.0118,0.0094
20,2x3,likert_5_flex,2,RNK,0.01,0,0,0,0.0402,0.0112,0.0108
20,2x3,likert_5_flex,2,ART,0.01,0,0,0,0.0974,0.0448,0.0534
20,2x3,likert_5_flex,2,INT,0.01,0,0,0,0.0412,0.0118,0.0112
20,2x3,likert_5_flex,2.5,PAR,0.05,0,0,0,0.2718,0.0546,0.0502
20,2x3,likert_5_flex,2.5,RNK,0.05,0,0,0,0.1576,0.0508,0.0518
20,2x3,likert_5_flex,2.5,ART,0.05,0,0,0,0.2356,0.1722,0.1918
20,2x3,likert_5_flex,2.5,INT,0.05,0,0,0,0.1546,0.0514,0.0522
20,2x3,likert_5_flex,2.5,PAR,0.01,0,0,0,0.1382,0.01,0.0092
20,2x3,likert_5_flex,2.5,RNK,0.01,0,0,0,0.0702,0.0114,0.011
20,2x3,likert_5_flex,2.5,ART,0.01,0,0,0,0.131,0.0538,0.0752
20,2x3,likert_5_flex,2.5,INT,0.01,0,0,0,0.068,0.0118,0.011
20,2x3,likert_5_flex,3,PAR,0.05,0,0,0,0.3208,0.0498,0.0448
20,2x3,likert_5_flex,3,RNK,0.05,0,0,0,0.1874,0.05,0.045
20,2x3,likert_5_flex,3,ART,0.05,0,0,0,0.2626,0.2096,0.22
20,2x3,likert_5_flex,3,INT,0.05,0,0,0,0.173,0.0492,0.047
20,2x3,likert_5_flex,3,PAR,0.01,0,0,0,0.1768,0.008,0.0098
20,2x3,likert_5_flex,3,RNK,0.01,0,0,0,0.092,0.008,0.0094
20,2x3,likert_5_flex,3,ART,0.01,0,0,0,0.1538,0.0774,0.0942
20,2x3,likert_5_flex,3,INT,0.01,0,0,0,0.0918,0.0076,0.0094
20,2x3,likert_7,1,PAR,0.05,0,0,0,0.056,0.0442,0.0488
20,2x3,likert_7,1,RNK,0.05,0,0,0,0.0552,0.0442,0.0496
20,2x3,likert_7,1,ART,0.05,0,0,0,0.0662,0.0452,0.053
20,2x3,likert_7,1,INT,0.05,0,0,0,0.0552,0.0432,0.0488
20,2x3,likert_7,1,PAR,0.01,0,0,0,0.0122,0.0086,0.0088
20,2x3,likert_7,1,RNK,0.01,0,0,0,0.012,0.0082,0.0088
20,2x3,likert_7,1,ART,0.01,0,0,0,0.0172,0.0092,0.0096
