n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.2,1,RNK,0.01,8,0,0,1,0.0092,0.0114
20,4x3,norm,0.2,1,ART,0.01,8,0,0,1,0.2004,0.0094
20,4x3,norm,0.2,1,INT,0.01,8,0,0,1,0.0106,0.012
20,4x3,norm,0.3,1,PAR,0.05,8,0,0,1,0.0504,0.05
20,4x3,norm,0.3,1,RNK,0.05,8,0,0,1,0.0464,0.0602
20,4x3,norm,0.3,1,ART,0.05,8,0,0,1,0.4424,0.049
20,4x3,norm,0.3,1,INT,0.05,8,0,0,1,0.0462,0.059
20,4x3,norm,0.3,1,PAR,0.01,8,0,0,1,0.0096,0.0104
20,4x3,norm,0.3,1,RNK,0.01,8,0,0,1,0.0108,0.0132
20,4x3,norm,0.3,1,ART,0.01,8,0,0,1,0.282,0.0104
20,4x3,norm,0.3,1,INT,0.01,8,0,0,1,0.0074,0.0162
20,4x3,norm,0.1,2,PAR,0.05,8,0,0,1,0.053,0.0598
20,4x3,norm,0.1,2,RNK,0.05,8,0,0,1,0.0496,0.0568
20,4x3,norm,0.1,2,ART,0.05,8,0,0,1,0.2368,0.0618
20,4x3,norm,0.1,2,INT,0.05,8,0,0,1,0.051,0.0522
20,4x3,norm,0.1,2,PAR,0.01,8,0,0,1,0.0088,0.0158
20,4x3,norm,0.1,2,RNK,0.01,8,0,0,1,0.0076,0.0122
20,4x3,norm,0.1,2,ART,0.01,8,0,0,1,0.1108,0.0154
20,4x3,norm,0.1,2,INT,0.01,8,0,0,1,0.0066,0.0128
20,4x3,norm,0.2,2,PAR,0.05,8,0,0,1,0.0466,0.0628
20,4x3,norm,0.2,2,RNK,0.05,8,0,0,1,0.0468,0.053
20,4x3,norm,0.2,2,ART,0.05,8,0,0,1,0.358,0.059
20,4x3,norm,0.2,2,INT,0.05,8,0,0,1,0.047,0.057
20,4x3,norm,0.2,2,PAR,0.01,8,0,0,1,0.0108,0.0188
20,4x3,norm,0.2,2,RNK,0.01,8,0,0,1,0.0094,0.0158
20,4x3,norm,0.2,2,ART,0.01,8,0,0,1,0.2026,0.0158
20,4x3,norm,0.2,2,INT,0.01,8,0,0,1,0.009,0.0158
20,4x3,norm,0.3,2,PAR,0.05,8,0,0,1,0.0504,0.0622
20,4x3,norm,0.3,2,RNK,0.05,8,0,0,1,0.0482,0.057
20,4x3,norm,0.3,2,ART,0.05,8,0,0,1,0.4564,0.0662
20,4x3,norm,0.3,2,INT,0.05,8,0,0,1,0.0488,0.0562
20,4x3,norm,0.3,2,PAR,0.01,8,0,0,1,0.0084,0.0152
20,4x3,norm,0.3,2,RNK,0.01,8,0,0,1,0.0088,0.0164
20,4x3,norm,0.3,2,ART,0.01,8,0,0,1,0.3052,0.0168
20,4x3,norm,0.3,2,INT,0.01,8,0,0,1,0.0096,0.016
20,2x4,norm,0.1,1,PAR,0.05,0,0,0,0.0524,0.05,0.0552
20,2x4,norm,0.1,1,RNK,0.05,0,0,0,0.0534,0.0486,0.0536
20,2x4,norm,0.1,1,ART,0.05,0,0,0,0.0526,0.0478,0.0526
20,2x4,norm,0.1,1,INT,0.05,0,0,0,0.0538,0.0484,0.0548
20,2x4,norm,0.1,1,PAR,0.01,0,0,0,0.0096,0.0096,0.0126
20,2x4,norm,0.1,1,RNK,0.01,0,0,0,0.0098,0.01,0.011
20,2x4,norm,0.1,1,ART,0.01,0,0,0,0.0078,0.0098,0.0108
20,2x4,norm,0.1,1,INT,0.01,0,0,0,0.0092,0.0098,0.011
20,2x4,norm,0.2,1,PAR,0.05,0,0,0,0.0432,0.0612,0.0502
20,2x4,norm,0.2,1,RNK,0.05,0,0,0,0.0456,0.0622,0.0516
20,2x4,norm,0.2,1,ART,0.05,0,0,0,0.0426,0.0572,0.0518
20,2x4,norm,0.2,1,INT,0.05,0,0,0,0.0426,0.061,0.0524
20,2x4,norm,0.2,1,PAR,0.01,0,0,0,0.0068,0.0124,0.0116
20,2x4,norm,0.2,1,RNK,0.01,0,0,0,0.0076,0.0112,0.0118
20,2x4,norm,0.2,1,ART,0.01,0,0,0,0.0056,0.011,0.0112
20,2x4,norm,0.2,1,INT,0.01,0,0,0,0.0074,0.0118,0.012
20,2x4,norm,0.3,1,PAR,0.05,0,0,0,0.0478,0.057,0.0552
20,2x4,norm,0.3,1,RNK,0.05,0,0,0,0.05,0.0566,0.0562
20,2x4,norm,0.3,1,ART,0.05,0,0,0,0.0456,0.0524,0.055
20,2x4,norm,0.3,1,INT,0.05,0,0,0,0.0468,0.06,0.0568
20,2x4,norm,0.3,1,PAR,0.01,0,0,0,0.011,0.0142,0.0114
20,2x4,norm,0.3,1,RNK,0.01,0,0,0,0.0124,0.0138,0.013
20,2x4,norm,0.3,1,ART,0.01,0,0,0,0.01,0.0134,0.0144
20,2x4,norm,0.3,1,INT,0.01,0,0,0,0.0106,0.0122,0.013
20,2x4,norm,0.1,2,PAR,0.05,0,0,0,0.0476,0.0528,0.0514
20,2x4,norm,0.1,2,RNK,0.05,0,0,0,0.0482,0.0548,0.0496
20,2x4,norm,0.1,2,ART,0.05,0,0,0,0.0476,0.0854,0.0892
20,2x4,norm,0.1,2,INT,0.05,0,0,0,0.0358,0.0542,0.0516
20,2x4,norm,0.1,2,PAR,0.01,0,0,0,0.0102,0.0116,0.0106
20,2x4,norm,0.1,2,RNK,0.01,0,0,0,0.0116,0.01,0.01
20,2x4,norm,0.1,2,ART,0.01,0,0,0,0.0102,0.0208,0.0204
20,2x4,norm,0.1,2,INT,0.01,0,0,0,0.0062,0.0118,0.011
20,2x4,norm,0.2,2,PAR,0.05,0,0,0,0.0458,0.0572,0.056
20,2x4,norm,0.2,2,RNK,0.05,0,0,0,0.0448,0.0546,0.055
20,2x4,norm,0.2,2,ART,0.05,0,0,0,0.045,0.0804,0.0882
20,2x4,norm,0.2,2,INT,0.05,0,0,0,0.033,0.0546,0.0572
20,2x4,norm,0.2,2,PAR,0.01,0,0,0,0.0096,0.011,0.015
20,2x4,norm,0.2,2,RNK,0.01,0,0,0,0.0112,0.011,0.014
20,2x4,norm,0.2,2,ART,0.01,0,0,0,0.0092,0.021,0.0204
