n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,0.5252,1.2479,0,0.2837,0.5563,0.1601,0.2944,0.5596,0.1958,0.2748,0.5508,0.1584,0.2794,0.5532,0.1565,0.2837,0.5563,0.1601
20,4x3,norm,-3.6443,2.183,0,1.391,0.7909,0.1199,1.3897,0.769,0.155,1.4476,0.7937,0.1495,1.3814,0.7996,0.1471,1.391,0.7909,0.1199
20,4x3,norm,1.7315,3.5996,0,0.7277,2.0248,0.2789,0.7607,1.8414,0.3737,0.7171,1.5852,0.2685,0.7131,1.5788,0.3212,0.7277,2.0248,0.2789
20,4x3,norm,-2.559,-0.1764,0,1.2489,0.1249,0.1825,1.1205,0.1355,0.2062,1.1102,0.1167,0.1832,1.0851,0.1113,0.1813,1.2489,0.1249,0.1825
20,4x3,norm,-2.189,1.0151,0,0.9336,0.5668,0.0711,0.8988,0.5822,0.115,0.8906,0.5537,0.0682,0.9093,0.5619,0.0906,0.9336,0.5668,0.0711
20,4x3,norm,0.0894,-0.7992,0,0.1392,0.3519,0.1293,0.1638,0.3267,0.1482,0.1564,0.3239,0.1366,0.1373,0.3398,0.1339,0.1392,0.3519,0.1293
20,4x3,norm,3.5137,0.441,0,1.3253,0.2097,0.1541,1.3498,0.2067,0.1809,1.3301,0.212,0.1317,1.2834,0.2191,0.1662,1.3253,0.2097,0.1541
20,4x3,norm,3.6692,-2.7055,0,1.6152,1.3316,0.1464,1.7482,1.3669,0.2321,1.7277,1.3541,0.1645,1.5569,1.2806,0.1594,1.6152,1.3316,0.1464
20,4x3,norm,-0.658,-3.6694,0,0.2761,1.6343,0.1193,0.2438,1.6975,0.121,0.2432,1.7069,0.1116,0.273,1.5037,0.1269,0.2761,1.6343,0.1193
20,4x3,norm,-1.7338,-3.6979,0,0.8604,1.913,0.2039,0.8286,1.7934,0.2533,0.8806,1.5528,0.1806,0.8626,1.6285,0.2609,0.8604,1.913,0.2039
20,4x3,norm,0.3409,-3.4807,0,0.264,1.4509,0.1468,0.2633,1.4315,0.1906,0.2666,1.4318,0.1744,0.2305,1.2564,0.1291,0.264,1.4509,0.1468
20,4x3,norm,3.0472,-0.8839,0,1.5763,0.4037,0.099,1.6169,0.4106,0.0953,1.6103,0.4006,0.093,1.3337,0.3786,0.1023,1.5763,0.4037,0.099
20,4x3,norm,2.0168,-1.2153,0,0.9009,0.5826,0.1488,0.8678,0.5451,0.1581,0.8593,0.5647,0.138,0.8882,0.5884,0.1531,0.9009,0.5826,0.1488
20,4x3,norm,-1.3582,-3.1828,0,0.7435,1.2924,0.1465,0.7397,1.3075,0.1572,0.755,1.3338,0.1337,0.7439,1.2725,0.1458,0.7435,1.2924,0.1465
20,4x3,norm,-1.1315,0.8676,0,0.507,0.4422,0.0917,0.484,0.4368,0.0686,0.4938,0.4416,0.08,0.5078,0.4376,0.0979,0.507,0.4422,0.0917
20,4x3,norm,-2.8724,-1.0906,0,1.3131,0.5364,0.2361,1.3665,0.5169,0.2331,1.3829,0.5294,0.2295,1.2539,0.5361,0.2695,1.3131,0.5364,0.2361
20,4x3,norm,-3.5294,-2.7432,0,1.3032,1.2564,0.2895,1.2959,1.2937,0.3543,1.3272,1.3133,0.2763,1.2939,1.2491,0.2825,1.3032,1.2564,0.2895
20,4x3,norm,-1.0754,3.7942,0,0.3925,1.612,0.087,0.381,1.4857,0.1337,0.3994,1.4254,0.0922,0.384,1.3166,0.0814,0.3925,1.612,0.087
20,4x3,norm,0.3051,-1.7006,0,0.1761,0.8103,0.096,0.1625,0.8065,0.0887,0.1713,0.8126,0.0824,0.1728,0.7907,0.0939,0.1761,0.8103,0.096
20,4x3,norm,2.0661,0.8636,0,0.8271,0.3162,0.1304,0.837,0.2862,0.1345,0.8459,0.3127,0.1346,0.8244,0.3107,0.1219,0.8271,0.3162,0.1304
20,4x3,norm,-1.4351,1.6667,0,0.7194,0.8182,0.1767,0.7268,0.8401,0.194,0.6761,0.8354,0.1887,0.7323,0.8139,0.1603,0.7194,0.8182,0.1767
20,4x3,norm,3.4597,0.6497,0,1.3767,0.3091,0.212,1.3153,0.3323,0.2578,1.2713,0.3327,0.2334,1.2348,0.3121,0.2067,1.3767,0.3091,0.212
20,4x3,norm,3.8976,-1.038,0,1.7404,0.4045,0.2055,1.3398,0.3864,0.2476,1.2537,0.4003,0.204,1.2909,0.385,0.2289,1.7404,0.4045,0.2055
20,4x3,norm,2.7073,0.6571,0,1.2755,0.4103,0.068,1.3182,0.3775,0.0871,1.3158,0.4016,0.0608,1.2086,0.4203,0.0655,1.2755,0.4103,0.068
