n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-5.0735,-7.2237,0,2.4049,3.5596,0.0934,1.9565,3.0959,0.5023,2.0431,1.807,0.1068,1.5961,2.3126,0.2057,2.4049,3.5596,0.0934
20,4x3,norm,-7.9614,-0.9747,0,3.3425,0.4739,0.2026,1.8082,0.4282,0.2355,1.762,0.4437,0.1714,1.7305,0.4633,0.24,3.3425,0.4739,0.2026
20,4x3,norm,-1.9687,4.8213,0,1.0296,2.5182,0.2659,1.0396,2.1859,0.3789,1.0857,1.5674,0.2425,0.9869,1.8142,0.2999,1.0296,2.5182,0.2659
20,4x3,norm,-1.1652,2.6192,0,0.5235,1.189,0.2219,0.4982,1.2587,0.2366,0.5059,1.2579,0.234,0.5252,1.2034,0.2142,0.5235,1.189,0.2219
20,4x3,norm,6.7471,-0.3718,0,2.8569,0.1259,0.1468,2.5104,0.127,0.1357,2.5198,0.1355,0.1699,1.9455,0.1534,0.1507,2.8569,0.1259,0.1468
20,4x3,norm,-7.8844,-5.5592,0,3.8098,2.8173,0.2059,3.2574,2.3959,0.5364,2.5908,2.1336,0.206,2.8213,2.1908,0.2826,3.8098,2.8173,0.2059
20,4x3,norm,-1.6114,-3.1194,0,0.67,1.4947,0.1159,0.6494,1.4628,0.1619,0.6574,1.3817,0.1071,0.6642,1.3242,0.1226,0.67,1.4947,0.1159
20,4x3,norm,-4.067,2.6087,0,1.8073,1.1475,0.1337,1.7105,1.1436,0.3475,1.3767,1.1377,0.138,1.5806,1.0695,0.1893,1.8073,1.1475,0.1337
20,4x3,norm,-4.1938,6.2504,0,1.8167,2.8332,0.1308,1.7195,2.8455,0.2854,1.7648,2.77,0.1292,1.6727,2.541,0.1961,1.8167,2.8332,0.1308
20,4x3,norm,-1.2833,0.4579,0,0.4311,0.1698,0.0738,0.4392,0.1527,0.0545,0.446,0.1796,0.0648,0.429,0.1611,0.0675,0.4311,0.1698,0.0738
20,4x3,norm,3.831,-4.8942,0,1.4663,2.3678,0.1267,1.4246,2.2603,0.3401,1.4367,1.7868,0.1231,1.3569,1.9647,0.1635,1.4663,2.3678,0.1267
20,4x3,norm,-4.6985,-2.1224,0,2.0691,1.0523,0.1994,1.9816,1.0364,0.2677,2.055,1.0435,0.2044,1.8361,1.0037,0.2222,2.0691,1.0523,0.1994
20,4x3,norm,-2.3865,7.9768,0,0.9291,3.6485,0.1616,0.8659,2.556,0.2387,0.8906,2.2526,0.1818,0.8905,2.1714,0.2809,0.9291,3.6485,0.1616
20,4x3,norm,2.3512,-1.7891,0,1.0785,0.8752,0.2337,1.1005,0.8329,0.2092,1.1576,0.8975,0.2453,1.0882,0.8539,0.2103,1.0785,0.8752,0.2337
20,4x3,norm,4.7994,2.6787,0,1.909,1.1756,0.0934,1.885,1.192,0.3207,1.8008,1.2099,0.0961,1.6958,1.1232,0.1165,1.909,1.1756,0.0934
20,4x3,norm,4.3637,1.8526,0,1.5975,0.9206,0.1981,1.6168,0.9328,0.3267,1.5969,0.9397,0.1863,1.5727,0.923,0.2061,1.5975,0.9206,0.1981
20,4x3,norm,5.5114,0.5691,0,2.2664,0.2637,0.0826,1.6048,0.2587,0.1219,1.5687,0.2489,0.0769,1.538,0.259,0.0975,2.2664,0.2637,0.0826
20,4x3,norm,3.4976,-3.7369,0,1.5167,1.67,0.1488,1.5024,1.6802,0.243,1.6069,1.7007,0.1417,1.4162,1.5471,0.1409,1.5167,1.67,0.1488
20,4x3,norm,-0.9832,-0.4415,0,0.341,0.2914,0.1838,0.3425,0.2776,0.1687,0.3471,0.2775,0.1787,0.3391,0.2936,0.1739,0.341,0.2914,0.1838
20,4x3,norm,3.5976,2.8963,0,1.4468,1.4187,0.1673,1.4167,1.4036,0.3047,1.3714,1.3561,0.1666,1.3186,1.307,0.1629,1.4468,1.4187,0.1673
