n,designStr,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,0,0,0,0.0408,6e-04,0.0571,0.0483,0.0011,0.0603,0.0429,0.001,0.0591,0.0427,8e-04,0.0564,0.0408,6e-04,0.0571
20,4x3,norm,0,0,0,0.0013,0.0158,0.0197,0.0049,0.0126,0.0189,0.0034,0.0129,0.0183,0.0023,0.0146,0.0213,0.0013,0.0158,0.0197
20,4x3,norm,0,0,0,0.0407,0.0039,0.0409,0.0309,0.0096,0.0433,0.033,0.0093,0.0455,0.037,0.0043,0.0386,0.0407,0.0039,0.0409
20,4x3,norm,0,1,0,0.0309,0.125,0.0296,0.0219,0.115,0.0313,0.0289,0.1226,0.0286,0.0299,0.1254,0.0274,0.0309,0.125,0.0296
20,4x3,norm,0,1,0,0.0118,0.2569,0.0324,0.0155,0.2515,0.0422,0.0124,0.2432,0.035,0.0137,0.259,0.0339,0.0118,0.2569,0.0324
20,4x3,norm,0,1,0,0.0075,0.2686,0.0324,0.0055,0.2524,0.025,0.0061,0.2539,0.0323,0.0066,0.2608,0.0279,0.0075,0.2686,0.0324
20,4x3,norm,0,2,0,0.0013,0.5156,0.0229,0.003,0.5241,0.0192,0.0013,0.5251,0.0209,0.0016,0.5007,0.0258,0.0013,0.5156,0.0229
20,4x3,norm,0,2,0,0.0105,0.4765,0.0217,0.0111,0.4844,0.0327,0.0116,0.482,0.034,0.0119,0.4679,0.0253,0.0105,0.4765,0.0217
20,4x3,norm,0,2,0,0.0198,0.4457,0.042,0.0231,0.4692,0.0379,0.0217,0.4769,0.0371,0.0243,0.4475,0.0387,0.0198,0.4457,0.042
20,4x3,norm,0,4,0,0.006,0.8152,0.0252,0.0056,0.7012,0.0229,0.0061,0.6962,0.0292,0.0151,0.6425,0.0193,0.006,0.8152,0.0252
20,4x3,norm,0,4,0,0.0258,0.7215,0.0243,0.0234,0.7439,0.0228,0.0236,0.7444,0.0363,0.0237,0.6902,0.0253,0.0258,0.7215,0.0243
20,4x3,norm,0,4,0,0.0051,0.7647,0.011,0.0068,0.7667,0.0089,0.0048,0.7636,0.0097,0.0043,0.704,0.0089,0.0051,0.7647,0.011
20,4x3,norm,0,8,0,0.0051,0.9432,0.0119,0.0081,0.7196,0.017,0.0042,0.7154,0.0172,0.0035,0.6547,0.0183,0.0051,0.9432,0.0119
20,4x3,norm,0,8,0,0.0184,0.924,0.0183,0.0215,0.8013,0.0176,0.0171,0.7984,0.0159,0.0288,0.7346,0.0206,0.0184,0.924,0.0183
20,4x3,norm,0,8,0,0.0206,0.9228,0.0229,0.0139,0.7795,0.0163,0.0187,0.7763,0.0202,0.0162,0.7222,0.0144,0.0206,0.9228,0.0229
20,4x3,norm,1,0,0,0.1227,0.0169,0.0316,0.1302,0.0228,0.0236,0.1285,0.0216,0.0244,0.1308,0.0177,0.0304,0.1227,0.0169,0.0316
20,4x3,norm,1,0,0,0.1236,0.0039,0.026,0.1183,0.0032,0.0225,0.1147,0.0026,0.0253,0.1292,0.0037,0.028,0.1236,0.0039,0.026
20,4x3,norm,1,0,0,0.1337,0.0037,0.0271,0.1269,0.0025,0.0169,0.1269,0.0017,0.0201,0.1301,0.0034,0.0266,0.1337,0.0037,0.0271
20,4x3,norm,1,1,0,0.183,0.138,0.0186,0.1807,0.1404,0.0289,0.1791,0.1493,0.0244,0.1847,0.1372,0.0189,0.183,0.138,0.0186
20,4x3,norm,1,1,0,0.1165,0.2101,0.0131,0.1057,0.2112,0.0168,0.1024,0.2081,0.0131,0.12,0.2049,0.0148,0.1165,0.2101,0.0131
