n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-2.4378,-2.6895,-3.9685,0.965,1.3363,0.7515,0.7412,1.1571,0.4719,0.9922,1.4074,0.7561,0.7628,1.1212,0.4953,0.965,1.3363,0.7515
20,4x3,norm,2.2288,0.1245,-3.0463,1.0648,0.1277,0.6521,0.9874,0.1619,0.5991,1.0446,0.1099,0.6689,1.0208,0.1589,0.6343,1.0648,0.1277,0.6521
20,4x3,norm,0.85,2.0955,-0.9874,0.4961,1.0186,0.1199,0.5012,1.0303,0.1323,0.4768,1.0431,0.1326,0.496,1.0062,0.1316,0.4961,1.0186,0.1199
20,4x3,norm,-1.1502,-3.9703,2.4318,0.576,1.6758,0.5758,0.437,1.5566,0.368,0.5956,1.7169,0.5847,0.4553,1.4669,0.4208,0.576,1.6758,0.5758
20,4x3,norm,-3.3198,1.9696,-1.8856,1.2853,0.9931,0.3992,1.2366,0.974,0.3896,1.3023,0.9774,0.397,1.2276,0.9482,0.321,1.2853,0.9931,0.3992
20,4x3,norm,2.7621,2.9819,-0.8763,1.2375,1.4691,0.2818,1.2632,1.5144,0.3847,1.316,1.3842,0.2712,1.192,1.3697,0.2927,1.2375,1.4691,0.2818
20,4x3,norm,0.8884,-3.7553,1.2325,0.2667,1.8376,0.3135,0.2931,1.6413,0.2791,0.2773,1.5942,0.2864,0.2726,1.4775,0.2848,0.2667,1.8376,0.3135
20,4x3,norm,0.0858,-2.8418,-1.3079,0.216,1.2689,0.1734,0.235,1.2734,0.1842,0.2283,1.2834,0.1799,0.2104,1.1809,0.1874,0.216,1.2689,0.1734
20,4x3,norm,2.8374,-3.6297,3.7473,1.0314,1.5319,0.6594,0.8631,1.213,0.36,1.0716,1.502,0.6625,0.8458,1.1995,0.3705,1.0314,1.5319,0.6594
20,4x3,norm,3.4233,2.9665,-0.5523,1.5511,1.5475,0.1305,1.5423,1.5537,0.2787,1.6448,1.3733,0.1025,1.4636,1.4413,0.1721,1.5511,1.5475,0.1305
20,4x3,norm,2.2585,-0.4293,2.038,1.1192,0.1325,0.4143,1.2087,0.1621,0.3965,1.2128,0.1538,0.4228,1.1219,0.139,0.4127,1.1192,0.1325,0.4143
20,4x3,norm,-2.6252,1.4111,-2.8499,1.0758,0.6245,0.5376,0.966,0.5026,0.415,1.0752,0.5708,0.5236,0.9728,0.5446,0.4333,1.0758,0.6245,0.5376
20,4x3,norm,2.6962,0.6493,2.3292,1.0269,0.2621,0.2458,1.0631,0.2573,0.237,1.0758,0.2702,0.232,0.9926,0.2466,0.2558,1.0269,0.2621,0.2458
20,4x3,norm,-1.7714,-2.7804,3.2721,0.748,1.3686,0.6652,0.5968,1.0161,0.4244,0.7091,1.2588,0.6331,0.62,1.019,0.4408,0.748,1.3686,0.6652
