n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.2,2,PAR,0.05,2,0,0,1,0,0
20,4x3,norm,0.2,2,RNK,0.05,2,0,0,1,0.5,0
20,4x3,norm,0.2,2,ART,0.05,2,0,0,1,0.5,0
20,4x3,norm,0.2,2,INT,0.05,2,0,0,1,0.5,0
20,4x3,norm,0.2,2,PAR,0.01,2,0,0,1,0,0
20,4x3,norm,0.2,2,RNK,0.01,2,0,0,1,0,0
20,4x3,norm,0.2,2,ART,0.01,2,0,0,1,0,0
20,4x3,norm,0.2,2,INT,0.01,2,0,0,1,0,0
20,2x4,norm,0.2,2,PAR,0.05,2,0,0,1,0,0
20,2x4,norm,0.2,2,RNK,0.05,2,0,0,1,0,0
20,2x4,norm,0.2,2,ART,0.05,2,0,0,1,0.5,0.5
20,2x4,norm,0.2,2,INT,0.05,2,0,0,1,0,0
20,2x4,norm,0.2,2,PAR,0.01,2,0,0,1,0,0
20,2x4,norm,0.2,2,RNK,0.01,2,0,0,1,0,0
20,2x4,norm,0.2,2,ART,0.01,2,0,0,1,0,0
20,2x4,norm,0.2,2,INT,0.01,2,0,0,1,0,0
