n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-1.8548,-3.7086,0,0.6543,1.5119,0.1061,0.6149,1.4968,0.0942,0.6237,1.5385,0.1173,0.622,1.4202,0.123,0.6543,1.5119,0.1061
20,4x3,norm,-0.0721,0.5572,0,0.0888,0.2765,0.2006,0.0939,0.3127,0.1924,0.0926,0.312,0.1951,0.0906,0.2841,0.197,0.0888,0.2765,0.2006
20,4x3,norm,-2.9643,1.4069,0,1.2219,0.6554,0.1676,1.1607,0.6265,0.1789,1.1522,0.6651,0.1335,1.1722,0.6612,0.1613,1.2219,0.6554,0.1676
20,4x3,norm,-3.9207,1.8377,0,1.4752,0.731,0.1726,1.4365,0.6919,0.1909,1.4673,0.6778,0.1837,1.4333,0.7267,0.1718,1.4752,0.731,0.1726
20,4x3,norm,-0.9062,-2.0953,0,0.4578,1.0034,0.1799,0.4384,1.0191,0.1788,0.4578,1.023,0.1988,0.4544,1.0105,0.1868,0.4578,1.0034,0.1799
20,4x3,norm,1.2282,0.9535,0,0.5577,0.4011,0.1064,0.5528,0.3542,0.0969,0.549,0.3682,0.097,0.5719,0.3883,0.109,0.5577,0.4011,0.1064
20,4x3,norm,1.7718,1.0859,0,0.8721,0.5444,0.2176,0.8803,0.5233,0.183,0.9033,0.5125,0.2268,0.8835,0.5494,0.213,0.8721,0.5444,0.2176
20,4x3,norm,2.4427,-2.7624,0,1.1781,1.3764,0.1607,1.21,1.4137,0.2536,1.2556,1.3754,0.1582,1.1404,1.3437,0.1308,1.1781,1.3764,0.1607
20,4x3,norm,-3.2444,0.2289,0,1.3164,0.0478,0.1715,1.29,0.0643,0.1866,1.284,0.0741,0.1606,1.2559,0.0421,0.1721,1.3164,0.0478,0.1715
20,4x3,norm,-2.8122,-0.0622,0,1.0743,0.0314,0.1528,1.0173,0.0357,0.0979,1.01,0.0367,0.1534,1.0469,0.0286,0.1389,1.0743,0.0314,0.1528
20,4x3,norm,-1.4941,1.3825,0,0.6296,0.5377,0.1595,0.6441,0.5104,0.1942,0.6382,0.4995,0.1879,0.6328,0.536,0.1656,0.6296,0.5377,0.1595
20,4x3,norm,-3.4618,-3.7874,0,1.2627,1.6455,0.1072,1.1777,1.617,0.2099,1.2321,1.6191,0.1174,1.2706,1.5836,0.1392,1.2627,1.6455,0.1072
20,4x3,norm,2.1478,-1.832,0,0.85,0.8035,0.1589,0.8609,0.8067,0.1491,0.8332,0.8175,0.1317,0.8402,0.8018,0.1598,0.85,0.8035,0.1589
20,4x3,norm,-1.6608,-0.5448,0,0.8164,0.22,0.2435,0.8444,0.2326,0.2247,0.8427,0.2358,0.212,0.8127,0.2141,0.251,0.8164,0.22,0.2435
20,4x3,norm,-2.6849,-0.3473,0,1.1204,0.2232,0.2108,1.0953,0.2054,0.2275,1.0776,0.2187,0.2276,1.0649,0.2252,0.201,1.1204,0.2232,0.2108
20,4x3,norm,-1.58,1.1181,0,0.5712,0.5464,0.2246,0.5729,0.5657,0.2327,0.5554,0.5585,0.2348,0.5616,0.5458,0.2264,0.5712,0.5464,0.2246
20,4x3,norm,2.9573,-1.1403,0,1.3321,0.7059,0.1558,1.2775,0.7109,0.2585,1.141,0.7212,0.1312,1.1924,0.6851,0.1616,1.3321,0.7059,0.1558
20,4x3,norm,-2.511,-1.2221,0,1.0983,0.6565,0.2252,1.1408,0.6719,0.2131,1.1605,0.6645,0.2265,1.0696,0.6486,0.2418,1.0983,0.6565,0.2252
20,4x3,norm,-3.0031,2.0526,0,1.1442,0.7844,0.0708,1.114,0.7518,0.1024,1.1434,0.7893,0.0888,1.1504,0.7845,0.0488,1.1442,0.7844,0.0708
20,4x3,norm,-3.3209,-3.154,0,1.1848,1.3646,0.1774,1.1573,1.3693,0.2129,1.1952,1.4518,0.1808,1.142,1.3238,0.1513,1.1848,1.3646,0.1774
20,4x3,norm,0.0776,-3.6145,0,0.1265,1.928,0.1366,0.1283,1.6438,0.155,0.1319,1.6204,0.1381,0.1281,1.4676,0.1387,0.1265,1.928,0.1366
20,4x3,norm,-3.718,-1.7416,0,1.4631,0.784,0.173,1.3897,0.7723,0.2284,1.3747,0.8078,0.1851,1.3564,0.7612,0.1946,1.4631,0.784,0.173
