n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,norm,INT,0.05,1,0,0,0,0.9994,0.0514,0.052,0,0,0,0
20,2x3,norm,PAR,0.01,1,0,0,0,0.9946,0.0112,0.01,0,0,0,0
20,2x3,norm,RNK,0.01,1,0,0,0,0.993,0.0106,0.0112,0,0,0,0
20,2x3,norm,ART,0.01,1,0,0,0,0.992,0.0126,0.0104,0,0,0,0
20,2x3,norm,INT,0.01,1,0,0,0,0.9944,0.0102,0.0108,0,0,0,0
20,2x3,norm,PAR,0.05,2,0,0,0,1,0.047,0.0512,0,0,0,0
20,2x3,norm,RNK,0.05,2,0,0,0,1,0.0448,0.0498,0,0,0,0
20,2x3,norm,ART,0.05,2,0,0,0,1,0.05,0.0522,0,0,0,0
20,2x3,norm,INT,0.05,2,0,0,0,1,0.0472,0.0516,0,0,0,0
20,2x3,norm,PAR,0.01,2,0,0,0,1,0.0084,0.0108,0,0,0,0
20,2x3,norm,RNK,0.01,2,0,0,0,1,0.0094,0.0118,0,0,0,0
20,2x3,norm,ART,0.01,2,0,0,0,1,0.0096,0.0112,0,0,0,0
20,2x3,norm,INT,0.01,2,0,0,0,1,0.0092,0.0098,0,0,0,0
20,2x3,norm,PAR,0.05,4,0,0,0,1,0.0534,0.0506,0,0,0,0
20,2x3,norm,RNK,0.05,4,0,0,0,1,0.0576,0.0518,0,0,0,0
20,2x3,norm,ART,0.05,4,0,0,0,1,0.0564,0.0496,0,0,0,0
20,2x3,norm,INT,0.05,4,0,0,0,1,0.0538,0.0504,0,0,0,0
20,2x3,norm,PAR,0.01,4,0,0,0,1,0.0124,0.0118,0,0,0,0
20,2x3,norm,RNK,0.01,4,0,0,0,1,0.0126,0.0118,0,0,0,0
20,2x3,norm,ART,0.01,4,0,0,0,1,0.0122,0.012,0,0,0,0
