n,design,family,method,alpha,effect,rate
20,within-2,likert,INT,0.01,1,0.4651
20,within-2,likert,NON,0.01,1,0.3485
20,within-2,likert,PAR,0.05,1.5,0.9552
20,within-2,likert,RNK,0.05,1.5,0.9616
20,within-2,likert,INT,0.05,1.5,0.9632
20,within-2,likert,NON,0.05,1.5,0.9386
20,within-2,likert,PAR,0.01,1.5,0.829
20,within-2,likert,RNK,0.01,1.5,0.8474
20,within-2,likert,INT,0.01,1.5,0.8468
20,within-2,likert,NON,0.01,1.5,0.7518
20,within-3,norm,PAR,0.05,0,0.0524
20,within-3,norm,RNK,0.05,0,0.0532
20,within-3,norm,INT,0.05,0,0.0516
20,within-3,norm,NON,0.05,0,0.0504
20,within-3,norm,PAR,0.01,0,0.0096
20,within-3,norm,RNK,0.01,0,0.0114
20,within-3,norm,INT,0.01,0,0.0104
20,within-3,norm,NON,0.01,0,0.0098
20,within-3,norm,PAR,0.05,0.5,0.2896
20,within-3,norm,RNK,0.05,0.5,0.2738
20,within-3,norm,INT,0.05,0.5,0.2814
20,within-3,norm,NON,0.05,0.5,0.2242
20,within-3,norm,PAR,0.01,0.5,0.1126
20,within-3,norm,RNK,0.01,0.5,0.1122
20,within-3,norm,INT,0.01,0.5,0.1108
20,within-3,norm,NON,0.01,0.5,0.0686
20,within-3,norm,PAR,0.05,1,0.8182
20,within-3,norm,RNK,0.05,1,0.8024
20,within-3,norm,INT,0.05,1,0.8108
20,within-3,norm,NON,0.05,1,0.6894
20,within-3,norm,PAR,0.01,1,0.6036
20,within-3,norm,RNK,0.01,1,0.5826
20,within-3,norm,INT,0.01,1,0.591
20,within-3,norm,NON,0.01,1,0.4054
20,within-3,norm,PAR,0.05,1.5,0.9916
20,within-3,norm,RNK,0.05,1.5,0.9898
20,within-3,norm,INT,0.05,1.5,0.9914
20,within-3,norm,NON,0.05,1.5,0.9616
20,within-3,norm,PAR,0.01,1.5,0.9556
20,within-3,norm,RNK,0.01,1.5,0.9484
20,within-3,norm,INT,0.01,1.5,0.9508
20,within-3,norm,NON,0.01,1.5,0.8354
20,within-3,lnorm,PAR,0.05,0,0.0352
20,within-3,lnorm,RNK,0.05,0,0.0522
20,within-3,lnorm,INT,0.05,0,0.0494
20,within-3,lnorm,NON,0.05,0,0.0548
20,within-3,lnorm,PAR,0.01,0,0.003
20,within-3,lnorm,RNK,0.01,0,0.0094
20,within-3,lnorm,INT,0.01,0,0.0098
20,within-3,lnorm,NON,0.01,0,0.0076
20,within-3,lnorm,PAR,0.05,0.5,0.1652
20,within-3,lnorm,RNK,0.05,0.5,0.2614
20,within-3,lnorm,INT,0.05,0.5,0.2718
20,within-3,lnorm,NON,0.05,0.5,0.2288
20,within-3,lnorm,PAR,0.01,0.5,0.0406
20,within-3,lnorm,RNK,0.01,0.5,0.1074
20,within-3,lnorm,INT,0.01,0.5,0.1028
20,within-3,lnorm,NON,0.01,0.5,0.0634
20,within-3,lnorm,PAR,0.05,1,0.552
20,within-3,lnorm,RNK,0.05,1,0.8028
20,within-3,lnorm,INT,0.05,1,0.8216
20,within-3,lnorm,NON,0.05,1,0.6916
20,within-3,lnorm,PAR,0.01,1,0.2614
20,within-3,lnorm,RNK,0.01,1,0.5864
20,within-3,lnorm,INT,0.01,1,0.5944
20,within-3,lnorm,NON,0.01,1,0.4048
20,within-3,lnorm,PAR,0.05,1.5,0.8456
20,within-3,lnorm,RNK,0.05,1.5,0.9892
20,within-3,lnorm,INT,0.05,1.5,0.9904
20,within-3,lnorm,NON,0.05,1.5,0.9578
20,within-3,lnorm,PAR,0.01,1.5,0.5942
20,within-3,lnorm,RNK,0.01,1.5,0.9494
20,within-3,lnorm,INT,0.01,1.5,0.955
20,within-3,lnorm,NON,0.01,1.5,0.8294
20,within-3,exp,PAR,0.05,0,0.0412
20,within-3,exp,RNK,0.05,0,0.0528
20,within-3,exp,INT,0.05,0,0.05
20,within-3,exp,NON,0.05,0,0.053
20,within-3,exp,PAR,0.01,0,0.0062
20,within-3,exp,RNK,0.01,0,0.0092
20,within-3,exp,INT,0.01,0,0.0096
20,within-3,exp,NON,0.01,0,0.0086
20,within-3,exp,PAR,0.05,0.5,0.2158
20,within-3,exp,RNK,0.05,0.5,0.2152
20,within-3,exp,INT,0.05,0.5,0.2192
20,within-3,exp,NON,0.05,0.5,0.1838
20,within-3,exp,PAR,0.01,0.5,0.0682
20,within-3,exp,RNK,0.01,0.5,0.0766
20,within-3,exp,INT,0.01,0.5,0.0794
20,within-3,exp,NON,0.01,0.5,0.0518
20,within-3,exp,PAR,0.05,1,0.7094
20,within-3,exp,RNK,0.05,1,0.6816
20,within-3,exp,INT,0.05,1,0.6818
20,within-3,exp,NON,0.05,1,0.5684
20,within-3,exp,PAR,0.01,1,0.39
20,within-3,exp,RNK,0.01,1,0.4298
20,within-3,exp,INT,0.01,1,0.4302
20,within-3,exp,NON,0.01,1,0.283
20,within-3,exp,PAR,0.05,1.5,0.9524
20,within-3,exp,RNK,0.05,1.5,0.9546
20,within-3,exp,INT,0.05,1.5,0.9572
20,within-3,exp,NON,0.05,1.5,0.8964
20,within-3,exp,PAR,0.01,1.5,0.7682
20,within-3,exp,RNK,0.01,1.5,0.8522
20,within-3,exp,INT,0.01,1.5,0.8486
20,within-3,exp,NON,0.01,1.5,0.6908
20,within-3,binom,PAR,0.05,0,0.0508
20,within-3,binom,RNK,0.05,0,0.0512
20,within-3,binom,INT,0.05,0,0.0524
20,within-3,binom,NON,0.05,0,0.0446
20,within-3,binom,PAR,0.01,0,0.0074
20,within-3,binom,RNK,0.01,0,0.0084
20,within-3,binom,INT,0.01,0,0.0074
20,within-3,binom,NON,0.01,0,0.0056
20,within-3,binom,PAR,0.05,0.5,0.2424
20,within-3,binom,RNK,0.05,0.5,0.2374
20,within-3,binom,INT,0.05,0.5,0.2484
20,within-3,binom,NON,0.05,0.5,0.2128
20,within-3,binom,PAR,0.01,0.5,0.0932
20,within-3,binom,RNK,0.01,0.5,0.0908
20,within-3,binom,INT,0.01,0.5,0.0952
20,within-3,binom,NON,0.01,0.5,0.0686
20,within-3,binom,PAR,0.05,1,0.7468
20,within-3,binom,RNK,0.05,1,0.7252
20,within-3,binom,INT,0.05,1,0.7474
20,within-3,binom,NON,0.05,1,0.6776
20,within-3,binom,PAR,0.01,1,0.4948
20,within-3,binom,RNK,0.01,1,0.4804
20,within-3,binom,INT,0.01,1,0.4982
20,within-3,binom,NON,0.01,1,0.4086
20,within-3,binom,PAR,0.05,1.5,0.9672
20,within-3,binom,RNK,0.05,1.5,0.9616
20,within-3,binom,INT,0.05,1.5,0.9664
20,within-3,binom,NON,0.05,1.5,0.9452
20,within-3,binom,PAR,0.01,1.5,0.878
20,within-3,binom,RNK,0.01,1.5,0.867
20,within-3,binom,INT,0.01,1.5,0.8822
20,within-3,binom,NON,0.01,1.5,0.8078
20,within-3,poisson,PAR,0.05,0,0.0468
20,within-3,poisson,RNK,0.05,0,0.0504
20,within-3,poisson,INT,0.05,0,0.0478
20,within-3,poisson,NON,0.05,0,0.0498
20,within-3,poisson,PAR,0.01,0,0.0096
20,within-3,poisson,RNK,0.01,0,0.0108
20,within-3,poisson,INT,0.01,0,0.011
20,within-3,poisson,NON,0.01,0,0.0054
20,within-3,poisson,PAR,0.05,0.5,0.6748
20,within-3,poisson,RNK,0.05,0.5,0.64
20,within-3,poisson,INT,0.05,0.5,0.66
20,within-3,poisson,NON,0.05,0.5,0.5678
20,within-3,poisson,PAR,0.01,0.5,0.413
20,within-3,poisson,RNK,0.01,0.5,0.3852
20,within-3,poisson,INT,0.01,0.5,0.4034
20,within-3,poisson,NON,0.01,0.5,0.2958
20,within-3,poisson,PAR,0.05,1,0.9974
20,within-3,poisson,RNK,0.05,1,0.9964
20,within-3,poisson,INT,0.05,1,0.9976
20,within-3,poisson,NON,0.05,1,0.988
20,within-3,poisson,PAR,0.01,1,0.981
20,within-3,poisson,RNK,0.01,1,0.973
20,within-3,poisson,INT,0.01,1,0.977
20,within-3,poisson,NON,0.01,1,0.9364
20,within-3,poisson,PAR,0.05,1.5,1
20,within-3,poisson,RNK,0.05,1.5,1
20,within-3,poisson,INT,0.05,1.5,1
20,within-3,poisson,NON,0.05,1.5,1
20,within-3,poisson,PAR,0.01,1.5,1
20,within-3,poisson,RNK,0.01,1.5,0.9998
20,within-3,poisson,INT,0.01,1.5,0.9998
20,within-3,poisson,NON,0.01,1.5,0.999
20,within-3,likert,PAR,0.05,0,0.0544
20,within-3,likert,RNK,0.05,0,0.0542
20,within-3,likert,INT,0.05,0,0.053
20,within-3,likert,NON,0.05,0,0.0512
20,within-3,likert,PAR,0.01,0,0.0102
20,within-3,likert,RNK,0.01,0,0.0114
20,within-3,likert,INT,0.01,0,0.0124
20,within-3,likert,NON,0.01,0,0.009
20,within-3,likert,PAR,0.05,0.5,0.2174
20,within-3,likert,RNK,0.05,0.5,0.2278
20,within-3,likert,INT,0.05,0.5,0.2254
20,within-3,likert,NON,0.05,0.5,0.2072
20,within-3,likert,PAR,0.01,0.5,0.0786
20,within-3,likert,RNK,0.01,0.5,0.0792
20,within-3,likert,INT,0.01,0.5,0.0812
20,within-3,likert,NON,0.01,0.5,0.0648
20,within-3,likert,PAR,0.05,1,0.6772
20,within-3,likert,RNK,0.05,1,0.6936
20,within-3,likert,INT,0.05,1,0.6966
20,within-3,likert,NON,0.05,1,0.6548
20,within-3,likert,PAR,0.01,1,0.423
20,within-3,likert,RNK,0.01,1,0.4462
20,within-3,likert,INT,0.01,1,0.4498
20,within-3,likert,NON,0.01,1,0.3694
20,within-3,likert,PAR,0.05,1.5,0.9394
20,within-3,likert,RNK,0.05,1.5,0.949
20,within-3,likert,INT,0.05,1.5,0.9514
20,within-3,likert,NON,0.05,1.5,0.9318
20,within-3,likert,PAR,0.01,1.5,0.8154
20,within-3,likert,RNK,0.01,1.5,0.8434
20,within-3,likert,INT,0.01,1.5,0.844
20,within-3,likert,NON,0.01,1.5,0.787
20,within-4,norm,PAR,0.05,0,0.051
20,within-4,norm,RNK,0.05,0,0.051
20,within-4,norm,INT,0.05,0,0.0516
20,within-4,norm,NON,0.05,0,0.0516
20,within-4,norm,PAR,0.01,0,0.0086
20,within-4,norm,RNK,0.01,0,0.0098
20,within-4,norm,INT,0.01,0,0.0094
20,within-4,norm,NON,0.01,0,0.007
20,within-4,norm,PAR,0.05,0.5,0.2682
20,within-4,norm,RNK,0.05,0.5,0.2532
20,within-4,norm,INT,0.05,0.5,0.2626
20,within-4,norm,NON,0.05,0.5,0.202
20,within-4,norm,PAR,0.01,0.5,0.099
20,within-4,norm,RNK,0.01,0.5,0.0962
20,within-4,norm,INT,0.01,0.5,0.0954
20,within-4,norm,NON,0.01,0.5,0.0624
20,within-4,norm,PAR,0.05,1,0.818
20,within-4,norm,RNK,0.05,1,0.796
20,within-4,norm,INT,0.05,1,0.8134
20,within-4,norm,NON,0.05,1,0.699
20,within-4,norm,PAR,0.01,1,0.6064
20,within-4,norm,RNK,0.01,1,0.5834
20,within-4,norm,INT,0.01,1,0.5956
20,within-4,norm,NON,0.01,1,0.4328
20,within-4,norm,PAR,0.05,1.5,0.9944
20,within-4,norm,RNK,0.05,1.5,0.9936
20,within-4,norm,INT,0.05,1.5,0.9938
20,within-4,norm,NON,0.05,1.5,0.9698
20,within-4,norm,PAR,0.01,1.5,0.9666
20,within-4,norm,RNK,0.01,1.5,0.955
20,within-4,norm,INT,0.01,1.5,0.9632
20,within-4,norm,NON,0.01,1.5,0.8832
20,within-4,lnorm,PAR,0.05,0,0.0356
20,within-4,lnorm,RNK,0.05,0,0.054
20,within-4,lnorm,INT,0.05,0,0.0518
20,within-4,lnorm,NON,0.05,0,0.0502
20,within-4,lnorm,PAR,0.01,0,0.0058
20,within-4,lnorm,RNK,0.01,0,0.011
20,within-4,lnorm,INT,0.01,0,0.0102
20,within-4,lnorm,NON,0.01,0,0.01
20,within-4,lnorm,PAR,0.05,0.5,0.144
20,within-4,lnorm,RNK,0.05,0.5,0.2524
20,within-4,lnorm,INT,0.05,0.5,0.2516
20,within-4,lnorm,NON,0.05,0.5,0.202
20,within-4,lnorm,PAR,0.01,0.5,0.044
20,within-4,lnorm,RNK,0.01,0.5,0.1008
20,within-4,lnorm,INT,0.01,0.5,0.1038
20,within-4,lnorm,NON,0.01,0.5,0.0644
20,within-4,lnorm,PAR,0.05,1,0.5392
20,within-4,lnorm,RNK,0.05,1,0.8114
20,within-4,lnorm,INT,0.05,1,0.824
20,within-4,lnorm,NON,0.05,1,0.7012
20,within-4,lnorm,PAR,0.01,1,0.2626
20,within-4,lnorm,RNK,0.01,1,0.5876
20,within-4,lnorm,INT,0.01,1,0.6016
20,within-4,lnorm,NON,0.01,1,0.4284
20,within-4,lnorm,PAR,0.05,1.5,0.8426
20,within-4,lnorm,RNK,0.05,1.5,0.9886
20,within-4,lnorm,INT,0.05,1.5,0.9926
20,within-4,lnorm,NON,0.05,1.5,0.9668
20,within-4,lnorm,PAR,0.01,1.5,0.6236
20,within-4,lnorm,RNK,0.01,1.5,0.9518
20,within-4,lnorm,INT,0.01,1.5,0.9604
20,within-4,lnorm,NON,0.01,1.5,0.875
20,within-4,exp,PAR,0.05,0,0.043
20,within-4,exp,RNK,0.05,0,0.0492
20,within-4,exp,INT,0.05,0,0.0474
20,within-4,exp,NON,0.05,0,0.0488
20,within-4,exp,PAR,0.01,0,0.0062
20,within-4,exp,RNK,0.01,0,0.0098
20,within-4,exp,INT,0.01,0,0.009
20,within-4,exp,NON,0.01,0,0.0078
20,within-4,exp,PAR,0.05,0.5,0.213
20,within-4,exp,RNK,0.05,0.5,0.203
20,within-4,exp,INT,0.05,0.5,0.2068
20,within-4,exp,NON,0.05,0.5,0.1724
20,within-4,exp,PAR,0.01,0.5,0.0702
20,within-4,exp,RNK,0.01,0.5,0.0716
20,within-4,exp,INT,0.01,0.5,0.0736
20,within-4,exp,NON,0.01,0.5,0.0494
20,within-4,exp,PAR,0.05,1,0.695
20,within-4,exp,RNK,0.05,1,0.6742
20,within-4,exp,INT,0.05,1,0.6814
20,within-4,exp,NON,0.05,1,0.5722
20,within-4,exp,PAR,0.01,1,0.4106
20,within-4,exp,RNK,0.01,1,0.4306
20,within-4,exp,INT,0.01,1,0.4336
20,within-4,exp,NON,0.01,1,0.3076
20,within-4,exp,PAR,0.05,1.5,0.9518
20,within-4,exp,RNK,0.05,1.5,0.9584
20,within-4,exp,INT,0.05,1.5,0.9604
20,within-4,exp,NON,0.05,1.5,0.9024
20,within-4,exp,PAR,0.01,1.5,0.8008
20,within-4,exp,RNK,0.01,1.5,0.8546
20,within-4,exp,INT,0.01,1.5,0.8614
20,within-4,exp,NON,0.01,1.5,0.7256
20,within-4,binom,PAR,0.05,0,0.0478
20,within-4,binom,RNK,0.05,0,0.0506
20,within-4,binom,INT,0.05,0,0.05
20,within-4,binom,NON,0.05,0,0.046
20,within-4,binom,PAR,0.01,0,0.0096
20,within-4,binom,RNK,0.01,0,0.0106
20,within-4,binom,INT,0.01,0,0.0104
20,within-4,binom,NON,0.01,0,0.0098
20,within-4,binom,PAR,0.05,0.5,0.2332
20,within-4,binom,RNK,0.05,0.5,0.2264
20,within-4,binom,INT,0.05,0.5,0.2356
20,within-4,binom,NON,0.05,0.5,0.2064
20,within-4,binom,PAR,0.01,0.5,0.0884
20,within-4,binom,RNK,0.01,0.5,0.0872
20,within-4,binom,INT,0.01,0.5,0.0904
20,within-4,binom,NON,0.01,0.5,0.067
20,within-4,binom,PAR,0.05,1,0.7368
20,within-4,binom,RNK,0.05,1,0.7094
20,within-4,binom,INT,0.05,1,0.7308
20,within-4,binom,NON,0.05,1,0.6722
20,within-4,binom,PAR,0.01,1,0.509
20,within-4,binom,RNK,0.01,1,0.4802
20,within-4,binom,INT,0.01,1,0.506
20,within-4,binom,NON,0.01,1,0.4198
20,within-4,binom,PAR,0.05,1.5,0.9698
20,within-4,binom,RNK,0.05,1.5,0.9626
20,within-4,binom,INT,0.05,1.5,0.9682
20,within-4,binom,NON,0.05,1.5,0.9486
20,within-4,binom,PAR,0.01,1.5,0.8948
20,within-4,binom,RNK,0.01,1.5,0.8806
20,within-4,binom,INT,0.01,1.5,0.8954
20,within-4,binom,NON,0.01,1.5,0.836
20,within-4,poisson,PAR,0.05,0,0.0448
20,within-4,poisson,RNK,0.05,0,0.0506
20,within-4,poisson,INT,0.05,0,0.0444
20,within-4,poisson,NON,0.05,0,0.0432
20,within-4,poisson,PAR,0.01,0,0.008
20,within-4,poisson,RNK,0.01,0,0.0074
20,within-4,poisson,INT,0.01,0,0.0084
20,within-4,poisson,NON,0.01,0,0.007
20,within-4,poisson,PAR,0.05,0.5,0.6778
20,within-4,poisson,RNK,0.05,0.5,0.6412
20,within-4,poisson,INT,0.05,0.5,0.664
20,within-4,poisson,NON,0.05,0.5,0.5694
20,within-4,poisson,PAR,0.01,0.5,0.4262
20,within-4,poisson,RNK,0.01,0.5,0.3882
20,within-4,poisson,INT,0.01,0.5,0.4106
20,within-4,poisson,NON,0.01,0.5,0.3194
20,within-4,poisson,PAR,0.05,1,0.9966
20,within-4,poisson,RNK,0.05,1,0.9956
20,within-4,poisson,INT,0.05,1,0.996
20,within-4,poisson,NON,0.05,1,0.9912
20,within-4,poisson,PAR,0.01,1,0.9816
20,within-4,poisson,RNK,0.01,1,0.9784
20,within-4,poisson,INT,0.01,1,0.9822
20,within-4,poisson,NON,0.01,1,0.9518
20,within-4,poisson,PAR,0.05,1.5,1
20,within-4,poisson,RNK,0.05,1.5,1
20,within-4,poisson,INT,0.05,1.5,1
20,within-4,poisson,NON,0.05,1.5,1
20,within-4,poisson,PAR,0.01,1.5,1
20,within-4,poisson,RNK,0.01,1.5,1
20,within-4,poisson,INT,0.01,1.5,1
20,within-4,poisson,NON,0.01,1.5,0.9998
20,within-4,likert,PAR,0.05,0,0.0492
20,within-4,likert,RNK,0.05,0,0.0506
20,within-4,likert,INT,0.05,0,0.0516
20,within-4,likert,NON,0.05,0,0.0492
20,within-4,likert,PAR,0.01,0,0.01
20,within-4,likert,RNK,0.01,0,0.0106
20,within-4,likert,INT,0.01,0,0.0092
20,within-4,likert,NON,0.01,0,0.0102
20,within-4,likert,PAR,0.05,0.5,0.2114
20,within-4,likert,RNK,0.05,0.5,0.2108
20,within-4,likert,INT,0.05,0.5,0.2156
20,within-4,likert,NON,0.05,0.5,0.198
20,within-4,likert,PAR,0.01,0.5,0.075
20,within-4,likert,RNK,0.01,0.5,0.081
20,within-4,likert,INT,0.01,0.5,0.081
20,within-4,likert,NON,0.01,0.5,0.0648
20,within-4,likert,PAR,0.05,1,0.6676
20,within-4,likert,RNK,0.05,1,0.6844
20,within-4,likert,INT,0.05,1,0.6902
