n,design,distr,effectX1,effectX2,effectX1X2,pX1,pX2,pX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
1000,4x3,lnorm,-0.374831836204976,4,0,2.24272752254808e-52,0,0.89461061084535,2.14829315152342e-26,0,1.17972701310837e-06,1.19366959208159e-45,0,0.0375401075327209,4.17623395634761e-60,0,1.93563170122081e-30,1.76158152256745e-47,0,0.42010418452577
1000,4x3,lnorm,0.448137498926371,4,0,1.31350406505391e-71,0,0.200747157830591,5.28903881319546e-25,0,2.79055442816854e-12,2.95326137005111e-63,0,0.528991676177163,6.32577268867385e-106,0,1.30481152135528e-48,4.82585715841591e-71,0,0.0479941856364707
1000,4x3,lnorm,-0.687671129591763,4,0,1.1238657960049e-225,0,0.617352484708943,1.22661282377593e-94,0,1.09793626209023e-26,1.61128214033449e-196,0,5.8519191839093e-05,1.97825955371678e-224,0,4.11583737201262e-96,2.80968020004846e-217,0,0.840017337135167
1000,4x3,lnorm,-0.42499138507992,4,0,1.86731037446815e-77,0,0.564535638157263,2.30745309519465e-34,0,1.12593060756146e-08,1.04397744426287e-68,0,0.133982902061628,2.74597359569685e-93,0,2.25274635399851e-44,6.74683944545407e-73,0,0.340801888848598
1000,4x3,lnorm,-0.0317640826106071,4,0,0.773596974974716,0,0.22967303556191,0.898058523644129,0,0.69671436232349,0.765310277311784,0,0.194160103854999,0.303161335508315,0,0.0639756924091157,0.758005155818672,0,0.272840158479282
1000,4x3,lnorm,0.952505680732429,4,0,0,0,0.458694406288221,2.98380105837547e-153,0,7.18169657224535e-65,0,0,1.62876567228566e-08,0,0,3.67876846101737e-173,0,0,0.311101531031593
1000,4x3,lnorm,0.88525000680238,4,0,9.21462091426014e-241,0,0.551794334851758,6.53430217387805e-81,0,1.10386326876373e-51,4.62215003532009e-211,0,1.38406918200931e-07,0,0,4.16882854710742e-167,2.87756759951077e-223,0,0.453495235090976
1000,4x3,lnorm,0.579333289992064,4,0,1.20510393490037e-141,0,0.166135385490609,5.46784011625168e-59,0,3.62857046999746e-17,2.97484975366796e-122,0,0.00186731172536369,3.27235403315377e-152,0,5.20680946206811e-71,1.87487920072349e-134,0,0.0529242641453893
1000,4x3,lnorm,0.530966226942837,4,0,7.79767645643476e-119,0,0.880129939196756,9.50597156634599e-50,0,2.63766817295977e-13,7.43223171639045e-104,0,0.000672649344366083,3.37192376876145e-125,0,4.18260044491685e-56,1.9375435700545e-109,0,0.402857914997699
1000,4x3,lnorm,0.623269236646593,4,0,3.28436618900169e-133,0,0.0490537546885133,3.10293802131785e-56,0,5.20074761586143e-23,1.39934158055441e-119,0,0.033422116482768,6.17298519979071e-165,0,2.65316397075182e-77,1.81419047012863e-130,0,0.0196640251993817
