n,design,distr,effectX1,effectX2,effectX1X2,pX1,pX2,pX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
1000,4x3,lnorm,3.75008060224354,0,0,0,0.231224299358349,0.302712384516242,0,0.48346809326479,0.252755131287973,0,0.353925494614481,0.261668282580236,0,0.233048625564766,0.210855327404251,0,0.229033381107594,0.316576335026096
1000,4x3,lnorm,-0.876659324392676,0,0,2.42911823976562e-254,0.212647602752601,0.0645853369499411,2.65137802173789e-127,0.311231486156111,0.776526356101123,6.97129403836908e-233,0.29517983153621,0.0477496805667692,6.38674163443699e-232,0.29271912053058,0.186170562709554,1.0097097107948e-253,0.214126173525486,0.0661347014659753
1000,4x3,lnorm,-1.09985424205661,0,0,0,0.648805620904312,0.746044991610158,1.85574385423385e-257,0.221162544709631,0.969627633628689,0,0.309435759887711,0.57678650551435,0,0.243607892289592,0.0314037626829085,0,0.641774174017822,0.733897263902735
1000,4x3,lnorm,0.55501170642674,0,0,1.34159830426466e-116,0.308917749167261,0.113530696173826,2.15763723219874e-64,0.335683217202984,0.435358486670167,1.37111679400499e-108,0.245714784165656,0.159710961392073,1.64497106210896e-107,0.216047426047356,0.16566974697272,3.20548778423202e-116,0.300710249324847,0.117746099192258
1000,4x3,lnorm,0.23021025955677,0,0,2.67895167229314e-22,0.899028304619371,0.189829211429527,1.410703880195e-10,0.735481632697569,0.160076568994565,1.13959063641618e-20,0.817671350928262,0.254589104804429,1.2218921956782e-20,0.894579620285782,0.228830880543277,2.48915190294787e-22,0.897126205934893,0.189406574593404
1000,4x3,lnorm,-3.44164153933525,0,0,0,0.402188354381983,0.308638687796556,0,0.631609015671456,0.989178445060569,0,0.46442279929662,0.210228697202431,0,0.13661211341033,0.742701053719711,0,0.433211953067582,0.216776204113642
1000,4x3,lnorm,2.80184441059828,0,0,0,0.946593751337264,0.102662202223303,0,0.632149366543259,0.114470526894572,0,0.8469349608431,0.133301335833498,0,0.296111894335558,0.149911110620972,0,0.927618480279704,0.124199393402504
1000,4x3,lnorm,2.48530889675021,0,0,0,0.990009160400324,0.0680821401107529,0,0.37167415194378,0.140341748909919,0,0.911468597709676,0.136853515927797,0,0.135966783525412,0.0053377928652099,0,0.990171078248033,0.0582856183834943
1000,4x3,lnorm,3.03168363496661,0,0,0,0.43022589503458,0.103351700773342,0,0.329033610863667,0.163555687136175,0,0.5308295331278,0.190592439776005,0,0.00693619296530769,0.0237281391874834,0,0.440760231282004,0.120342286630833
1000,4x3,lnorm,-0.808371257036924,0,0,1.97640833350751e-217,0.0631624761609388,0.466028601458888,4.57607498645648e-105,0.0612629831791813,0.687478363396169,6.68308845009918e-200,0.0870891697523041,0.503121651623191,1.45159679579931e-197,0.0806533703660701,0.737696304881534,2.36746380711997e-217,0.0618246778047306,0.459262307330904
