n,design,distr,effectX1,effectX2,effectX1X2,etaX1,etaX2,etaX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
20,2x3,norm,-1.30540874507278,-1.2175011401996,0,0.199509774269351,0.120123909384209,0.0276234420739256,0.199509774269351,0.120123909384209,0.0276234420739256,0.192279795309995,0.0964430404198192,0.0257000078707734,0.193934874851808,0.097907473111837,0.0318646910372032,0.202247431759995,0.119474746912143,0.0266604139562208
20,2x3,norm,-0.0588870625942945,-0.496775477193296,0,0.00448043168618825,0.00691374895579004,0.0234813231335521,0.00448043168618825,0.00691374895579004,0.0234813231335521,0.0050695734504279,0.00459385057190247,0.0223647503463071,0.0065497076023391,0.00373245552861489,0.0237670542473206,0.00394154237270661,0.00590778881644944,0.0203796194871912
20,2x3,norm,1.05943851079792,1.83089917059988,0,0.207193375804582,0.22115155185541,0.000994258112991152,0.207193375804582,0.22115155185541,0.000994258112991152,0.22233150996667,0.2094111711638,0.00136138978017538,0.20729572309595,0.203090830478367,0.00215632167875435,0.214725255072544,0.209320002462159,0.000231593985639219
20,2x3,norm,0.775687496177852,-1.7594149466604,0,0.0863434786284315,0.229133875029223,0.00100982223863342,0.0863434786284315,0.229133875029223,0.00100982223863342,0.0746348259669217,0.227473899123525,0.00192538883611733,0.0734411858134824,0.226333155409111,0.000998513874846838,0.0873607437660419,0.217795497433069,0.000519961262080673
20,2x3,norm,-0.161078223958611,-1.19038892071694,0,0.0597632055291422,0.226776357783575,0.0134026655277177,0.0597632055291422,0.226776357783575,0.0134026655277177,0.0726137101655709,0.21033904926125,0.00818504326584141,0.0718367862954649,0.21729332770605,0.0117854855522697,0.0585762497364414,0.228621733514842,0.0105542916713253
20,2x3,norm,1.91884040180594,-1.38114482257515,0,0.351069104182557,0.235609598674325,0.0107145755020704,0.351069104182557,0.235609598674325,0.0107145755020704,0.352237141455146,0.233365158982232,0.0109614623683561,0.362896450337718,0.233126242492928,0.00743650085883295,0.345219703378037,0.220132611556644,0.0121353186407887
20,2x3,norm,-1.12188912369311,-1.95135595090687,0,0.290830319099097,0.432857572487689,0.0160230977434507,0.290830319099097,0.432857572487689,0.0160230977434507,0.315636484685642,0.440408220923935,0.0297854697847021,0.297934865410385,0.445026958756152,0.0191498635272514,0.284755175165901,0.412903020032245,0.0201308061202496
20,2x3,norm,0.73487199191004,0.360733684152365,0,0.0356491184942103,0.0244008301126879,0.00133813829874625,0.0356491184942103,0.0244008301126879,0.00133813829874625,0.0252554130327218,0.041875718079781,0.003158031417418,0.0237901191085769,0.0384161538688661,0.0022333208116689,0.0329292087344066,0.0241766577895948,0.0015601571576615
20,2x3,norm,-1.59590087458491,-1.41120077669621,0,0.169429929498462,0.26207432972354,0.00609005241374488,0.169429929498462,0.26207432972354,0.00609005241374488,0.148577583191788,0.253064864390691,0.00332313454889405,0.152869420018321,0.267240208364815,0.00514467991429088,0.152785121874624,0.244826870320408,0.00821407467603177
20,2x3,norm,-0.636915769428015,0.67738023865968,0,0.0509108282856776,0.110996806217181,0.0063076816443814,0.0509108282856776,0.110996806217181,0.0063076816443814,0.0329972750482841,0.105851118189865,0.0104493782847055,0.0376312531555556,0.105662542533275,0.00569664697164917,0.0515303631181945,0.10994919676044,0.00594347924580754
