n,design,distr,effectX1,effectX2,effectX1X2,pX1,pX2,pX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
12,4x3,lnorm,4,0,-0.463220388628542,8.57064662825959e-31,0.544348473172862,0.231064300119547,1.25008861135982e-15,0.796908324708749,0.99551900454185,4.00031448349719e-31,0.34819747244404,0.132782261787622,7.36603832688594e-30,0.943849357259531,0.359447106173526,4.48907957837931e-31,0.564226871614981,0.389472336342776
12,4x3,lnorm,4,0,0.226719648577273,2.43657303110383e-38,0.942846638217027,0.00920137500442589,1.14170002683358e-22,0.877639896568711,0.765096820662592,9.50992264702746e-40,0.949227626678925,0.00357263397064901,7.18086448076349e-38,0.961860108913783,0.324323477566845,2.94944993820879e-36,0.857517195119262,0.00835485657849365
12,4x3,lnorm,4,0,0.611015534959733,5.10727603446219e-33,0.525189855581455,0.917947194906164,3.43717271001573e-16,0.573268444350969,0.986363019979467,2.91779516523471e-35,0.414813060299867,0.86377443341591,7.18505813577314e-33,0.79092599582006,0.928955524021792,1.4388423746235e-32,0.604626481887918,0.89180873501386
12,4x3,lnorm,4,0,0.343817413784564,1.07348847495142e-35,0.942080679287832,0.256204377788445,6.60802470081645e-16,0.949497678080186,0.543883852178075,2.99705666869468e-32,0.875852510063627,0.369603920392499,4.49988579203772e-30,0.790627357910039,0.252087331502829,5.27143031602059e-34,0.879943940470367,0.249064241813408
12,4x3,lnorm,4,0,0.808567374013364,3.34979866120748e-43,0.351892471072409,0.0022265584300484,8.86716874682207e-20,0.60804249069987,0.00923288812064505,4.88078561683797e-37,0.489770578272782,0.030832880652876,9.70740688638192e-36,0.15985853164368,0.00339863174564333,7.93821869453924e-37,0.473745896473531,0.00312538702647075
12,4x3,lnorm,4,0,-1.81847495492548,2.95396140691538e-36,0.843437798248669,0.0135959354657227,5.89002922350955e-25,0.20981164261173,0.0301729973789313,7.28299585742928e-33,0.766976092690467,0.126841550454686,2.92500957158145e-32,0.000633365429146623,0.000141168343744723,1.21440201641784e-33,0.825957844532296,0.0316046499742418
12,4x3,lnorm,4,0,-0.84849370829761,1.33094075585847e-35,0.0817613931121365,0.0972402112784244,2.948862455596e-26,0.0194044104769945,0.0102458861447394,1.23407395915275e-35,0.0476790212936259,0.179152012700083,2.14827307556811e-32,0.000358099659624656,5.15194181584329e-05,4.38415741486812e-34,0.0839755621195293,0.082172220638403
12,4x3,lnorm,4,0,-0.852841850370169,1.56649474091928e-33,0.688176710515688,0.684842919278053,3.25721415926946e-15,0.759443511909255,0.393129739810834,3.97895754933561e-29,0.734656258472923,0.570976278373476,3.48940158684691e-27,0.614946868680468,0.671798515994521,2.10261253552887e-28,0.596412817544965,0.488105202455201
12,4x3,lnorm,4,0,1.66630818974227,7.39583857477981e-32,0.243624753567984,0.0430434099221705,1.92154922928451e-21,0.769840177144201,0.765146378864557,1.05409286917037e-31,0.283589798702532,0.042850263287085,4.43186012718433e-31,0.180810132348681,0.0245488908049221,3.73477704901263e-31,0.252972221207187,0.113098389761531
12,4x3,lnorm,4,0,0.246278360486031,3.03103548184349e-40,0.0946824240854479,0.523284096363552,3.53940951695505e-27,0.226894937491132,0.0844382932767601,1.0244492997548e-41,0.141243818130458,0.554882871337067,6.32566267139966e-40,0.107088271043831,0.150864447430779,4.21917418449519e-36,0.0748398820753751,0.328955294603319
12,4x3,lnorm,4,0,-1.76026612054557,3.5894434707913e-30,0.179389450869997,0.0189668288530877,5.01619747542057e-16,0.0166547955339278,0.000719818896614775,1.17904898870231e-26,0.346961777593494,0.124945107970904,4.16651125545831e-26,0.000110408861164302,0.000124004570173617,5.69798145180205e-28,0.119035266863562,0.0164942817328871
12,4x3,lnorm,4,0,-1.26434677373618,2.64944287002493e-37,0.940211079923107,0.0443659535281404,1.1706476866661e-18,0.618889888605075,0.0810192112465178,1.27498277472109e-39,0.908156765680145,0.0268090780375751,1.98958761696123e-33,0.245932254947118,0.0409115219725401,2.91718629909492e-34,0.969530507322015,0.0294435341110025
12,4x3,lnorm,4,0,-1.73257270548493,4.11630863238638e-39,0.813565746835135,0.0073037129681699,1.350570888718e-16,0.287086676761245,0.538818385662028,2.21489179456595e-36,0.666029489590304,0.345395191335992,4.42118709052847e-32,0.474181670847259,0.437018066705124,2.15935375167683e-36,0.683194860241541,0.046986309443351
12,4x3,lnorm,4,0,-0.316121151670814,1.38438368243683e-31,0.170547163834685,0.108088325864151,1.26063222963596e-11,0.09694911332578,0.0670426325536457,1.67027123463761e-29,0.243493040977436,0.0536067068642924,1.78338620345916e-23,0.0560492110175241,0.0112819213690551,7.49141275869998e-28,0.122761058019965,0.0780092800350796
12,4x3,lnorm,4,0,-1.66185629181564,1.95506034482878e-36,0.17220666883181,0.029802300838667,4.46315885679222e-17,0.0900106614040648,0.0212355307392245,2.11037076207032e-33,0.486997766278059,0.041015655508912,2.74999844994377e-22,4.34037607286151e-08,6.65884431668447e-05,1.32943382047251e-33,0.250434114882415,0.090575767543102
12,4x3,lnorm,4,0,0.976564462296665,1.94631687479862e-38,0.354166044472414,0.701278346801912,1.46457543459606e-22,0.721157529325401,0.869692263062685,6.99693564219063e-40,0.404361344755542,0.737720281239838,1.33407356480203e-38,0.0516755389359814,0.102200986727789,1.38403699474976e-36,0.319618138433458,0.657713178419943
12,4x3,lnorm,4,0,0.0510155614465475,1.11565976026393e-35,0.453561215941614,0.817509014866746,1.05385159386598e-12,0.117838738287998,0.556038105773807,2.23000992679299e-37,0.326539808282681,0.703099132888875,2.95700973299866e-26,0.127907553743858,0.347329571654124,1.02450910516145e-33,0.513116542892987,0.890499168757012
12,4x3,lnorm,4,0,0.513857318088412,9.86215259647335e-36,0.492461826214891,0.504029789018357,1.71565677592077e-22,0.667595159010907,0.920162607043939,1.68762247271018e-32,0.359188136991425,0.536095792684226,3.24172675663077e-32,0.640776070940369,0.917206188742306,2.78570636904153e-33,0.527686365713394,0.461491879529359
12,4x3,lnorm,4,0,0.822979617863894,2.23786742616059e-32,0.877078818076891,0.0622352387178648,3.12152243554419e-25,0.275192801669083,0.194071868845382,1.11004609983949e-31,0.677882094115566,0.324925507384249,1.31204152626904e-30,0.0204665227572262,0.0128577053658386,6.78109551229869e-31,0.87788240298785,0.0786546208295828
12,4x3,lnorm,4,0,-0.822635993361473,2.12761639140177e-45,0.421923166813964,0.00191930580869488,2.60559494885979e-24,0.458132517527614,0.0271279546457283,4.0953273337778e-47,0.767021470265134,0.00127989685889986,3.28925695838765e-43,0.052413712093664,0.000559211277547679,1.60250264787356e-38,0.179691203467013,0.00446788474417269
12,4x3,lnorm,4,0,0.541529912501574,3.53531026698343e-33,0.934156845116525,0.641483756815587,1.30467849948462e-21,0.943944806573227,0.943414257429185,1.75908926713252e-33,0.890345628906646,0.790295700023489,1.77654652449816e-32,0.967063444498368,0.930631810320736,1.64147342416558e-32,0.999181414510008,0.799333441659531
12,4x3,lnorm,4,0,-0.513815057463944,1.17260269570584e-42,0.72845183232424,0.53538024333562,4.29539241739866e-19,0.81851723575608,0.700072913000447,1.15362901915523e-42,0.76273309700753,0.693448267855282,3.17098664452993e-42,0.737321986480081,0.570535874799546,1.08100386308863e-39,0.840253641521508,0.602540013348095
12,4x3,lnorm,4,0,1.26396617013961,1.98370681171857e-39,0.546218641976262,0.315336802667977,1.55561710606793e-23,0.665058421896774,0.515531685778873,1.4973966541218e-40,0.623410054518325,0.351387225206797,3.25850463193551e-36,0.324219941072024,0.054811818473817,2.6287957063843e-35,0.877873085595103,0.373647960200112
12,4x3,lnorm,4,0,-1.33560986351222,2.12536454562579e-38,0.0376639636669359,0.00103608727989655,1.14466601738548e-24,0.385890262961419,0.00642924014107533,4.23918656304252e-36,0.00667472540899667,0.00960632358733319,1.11526658383892e-33,0.0163497846611418,0.00719677733056993,8.86557977843407e-35,0.021006185996873,0.000963675210323529
