n,design,distr,effectX1,effectX2,effectX1X2,pX1,pX2,pX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
12,4x3,lnorm,0,4,0,0.733653698027316,6.96405261253805e-40,0.177015700136631,0.691697739495951,8.30758343683517e-28,0.736467892582495,0.605322262021074,2.26452009385207e-31,0.184184553655185,0.0200657275236991,1.34700598979279e-31,0.211939183006203,0.437822725095628,9.51971831552431e-27,0.417002014036671
12,4x3,lnorm,0,4,0,0.0415118667607039,5.74948768914123e-43,0.927085058450992,0.491206919431569,1.38800991506837e-23,0.996883302550272,0.0301262548329256,2.98249223358237e-42,0.871278972396928,0.0695276590827215,6.98931863643984e-42,0.587027842938995,0.086809786974044,2.67054335708465e-38,0.872133587506973
12,4x3,lnorm,0,4,0,0.568922180046972,3.34582481791658e-39,0.0472915452599019,0.0954429079766813,2.95176982170718e-23,0.0539427660197171,0.342172068301091,2.37186970551838e-39,0.0454409000418595,0.000367463351868288,2.08642586142814e-38,0.00133969867055442,0.494290793902441,5.65888684404154e-36,0.0356178701794535
12,4x3,lnorm,0,4,0,0.847570801287895,6.17887583952937e-46,0.893487314274541,0.723366465821317,3.32753229081281e-26,0.938511382970893,0.823505036481662,6.75108577354401e-41,0.903176187323627,0.082559531780241,6.53586111821172e-39,0.346057306809095,0.81895247317452,4.33845571585409e-36,0.845706739220299
12,4x3,lnorm,0,4,0,0.25457126141236,5.37459764866767e-47,0.885275582343754,0.514625388423628,2.79796650340142e-32,0.980995147498784,0.491892098915084,2.92488513548909e-39,0.765434304375156,0.489017802508159,7.25165395714334e-39,0.715737856340295,0.514748163575951,2.53368091126806e-35,0.737521156291771
12,4x3,lnorm,0,4,0,0.258370433524835,1.10560526306659e-41,0.660363294186883,0.377844852325335,3.24745761738003e-29,0.374859718412695,0.430696098584727,3.70505209331634e-40,0.614288975880042,0.0643962825701733,3.65036424698463e-40,0.356899823537032,0.196221162068677,1.94110566123484e-36,0.718370360874415
12,4x3,lnorm,0,4,0,0.962856078104631,1.06761783002816e-35,0.607839848505908,0.436890261706993,5.67483136282825e-21,0.451312687800006,0.971391206007074,6.69124793378017e-38,0.600323420548157,0.36202974157332,6.74900394723376e-36,0.41194483337516,0.93768165567761,1.08698206175439e-34,0.556461636805065
12,4x3,lnorm,0,4,0,0.537787720683895,2.119340788287e-36,0.0945987582883301,0.156687675136463,1.30450119150784e-23,0.0477341243062544,0.508226906600393,1.43662989025637e-36,0.0887518940189476,0.00339033578271214,2.43417836518277e-29,0.00156382921566849,0.438370693586994,1.50099279719931e-34,0.0385060826487599
12,4x3,lnorm,0,4,0,0.294857149453849,2.99462631324641e-40,0.386600719132927,0.313609146149657,2.48860796876494e-21,0.559715089428173,0.359872246571288,1.55576924389565e-42,0.481552606011423,0.0321527859400497,1.5948730135999e-39,0.111184710911605,0.378715703375282,1.38247709608633e-39,0.403806510477269
12,4x3,lnorm,0,4,0,0.683876451738212,9.94844984393976e-37,0.983876094103953,0.823391007155131,7.45300061334087e-20,0.863916488887928,0.615678616285509,6.34400546942182e-35,0.995678853334712,0.577124513605973,7.72152653126531e-33,0.779777312327502,0.905585671793425,9.0217609427042e-32,0.93149675430092
12,4x3,lnorm,0,4,0,0.615468347147801,4.23834309304987e-38,0.627549764417981,0.552830215935979,2.52621220689379e-14,0.565919676125952,0.560082742363593,2.07241214277669e-34,0.79144443549981,0.0685514265432048,1.31178889412589e-27,0.644690619596343,0.644660581979801,4.22568151175198e-34,0.600778319072578
12,4x3,lnorm,0,4,0,0.0793061557513061,1.65128808061339e-40,0.622167080904235,0.015410240227911,1.26854909426503e-28,0.0556423545487252,0.427421886447615,9.6872963081209e-38,0.851539723417997,2.24656211995369e-05,8.24974995140898e-37,0.00665243312876719,0.065737687938138,5.11781531810329e-36,0.347915295843441
12,4x3,lnorm,0,4,0,0.621280254190571,3.14239820442227e-44,0.4225685482797,0.422705054763489,2.37366600007408e-23,0.617289159263193,0.878253435779228,2.37429612603385e-41,0.421116001282672,0.00173870086434018,3.79709950641223e-36,0.0240928552378193,0.638253030899821,1.2516282472259e-38,0.335735689611514
12,4x3,lnorm,0,4,0,0.835806808677748,2.79760523796327e-44,0.846228332255788,0.348308120951063,3.08979869312189e-15,0.814931593751818,0.699420173759569,1.64352848701296e-37,0.822948201611894,0.0984005826785143,1.13516246493815e-32,0.296230661337498,0.654578733224641,9.50281197194175e-34,0.644339801479833
12,4x3,lnorm,0,4,0,0.492046034173353,7.45377992495517e-40,0.544569045507384,0.768772990923667,2.67985726396623e-16,0.933229266050436,0.379404072881179,1.79244179216496e-38,0.343617962075473,0.095725452584437,3.19599642973995e-37,0.326931125847245,0.657972795494801,1.73862239001193e-35,0.674821816387159
12,4x3,lnorm,0,4,0,0.772734053383223,1.74155108808824e-37,0.701818453100805,0.806359517843587,5.29868823681378e-28,0.883396783492285,0.687195674482215,4.64690837640395e-33,0.777938457641015,0.136657094336907,1.10486063611092e-31,0.165740621993767,0.641672308469095,2.15823241977841e-30,0.552657376883634
12,4x3,lnorm,0,4,0,0.768441484729082,4.67735435048712e-38,0.237846183994057,0.921743682536305,1.67084964955755e-27,0.653495028680142,0.617638991174041,9.32100838221303e-35,0.233942372531992,0.234004913072185,3.43958045149185e-34,0.209618147770086,0.828245582174673,8.43683377499342e-31,0.373093374840868
12,4x3,lnorm,0,4,0,0.352064553485494,2.10239957206342e-45,0.0996350577257816,0.0427396105414601,1.18992892199671e-24,0.0108327368544749,0.683987590071427,3.2271884287815e-41,0.205428941050157,1.8491521769367e-05,1.07066640111281e-34,2.40941623038455e-05,0.212235338085873,8.08394282164282e-38,0.0371082894558104
12,4x3,lnorm,0,4,0,0.254086395047434,4.10202075581682e-38,0.101071667135676,0.397063783432742,9.87137344065515e-25,0.667230055389859,0.296181959377572,2.15031126867528e-35,0.179194131968095,0.00425366877666208,8.41210634057041e-34,0.00979267331734373,0.137507692887616,3.20640222653583e-34,0.110270310727192
12,4x3,lnorm,0,4,0,0.0208345227724883,8.47583733105623e-43,0.976881867355712,0.110861745323004,9.95732026395722e-24,0.496252496102607,0.0160925776062678,4.97756162787282e-44,0.997630517498168,0.00319595216915248,3.02141266673232e-40,0.39454144240057,0.0232849771149512,8.93249616678798e-42,0.992508360526302
12,4x3,lnorm,0,4,0,0.292717458048663,4.50205670272211e-41,0.248606510937914,0.0494511096838558,4.5919198561037e-20,0.199921342022361,0.389213001557783,2.16638079554449e-37,0.337796569904315,0.0688139065787574,3.35641944973806e-34,0.368103767007063,0.166099209001238,5.51433083295245e-35,0.124408782143836
12,4x3,lnorm,0,4,0,0.530652900459815,2.23826198097713e-41,0.826529733323034,0.724686936260852,6.97418575008153e-31,0.940476469333196,0.583126976696731,1.33603976795299e-35,0.81069147384415,0.296854419736066,5.86096766495341e-35,0.800912675749693,0.436163839202557,3.42334090353568e-30,0.676496457783159
12,4x3,lnorm,0,4,0,0.680576206779931,5.3649925172098e-47,0.76004871423465,0.940335989004284,1.36212716604186e-21,0.88390863476748,0.551357274430046,2.29306363720271e-43,0.847300906620553,0.750836549733019,2.3645648139208e-42,0.867923522313865,0.684225301575912,2.84752314007286e-38,0.921742743559747
