;UserID;TrialID;Type;isFoV;SecInFov;TimesInFov;Detected;TimeToDetect;TimeToDetectFromFirst;Manipulation;Size;Distance;Isolated;Complexity;Detection Ratio
182;5;7;CH;False;8.890831393408202;6.0;True;39.9;0.011866564535346584;Manipulation_CH_001;0;1;1;0;26.0
183;5;8;FOV;True;12.794815938312235;1.0;True;13.4;0.010705043967560958;Manipulation_FOV_CH_000;0;0;1;1;26.0
184;5;9;RE;False;7.2303821107248;7.0;False;45.1;14.712667987692216;Manipulation_RE_003;0;1;1;0;26.0
187;5;12;FOV;True;29.54327898031301;1.0;True;33.4;0.011400604970602482;Manipulation_FOV_RE_000;0;0;1;0;26.0
188;5;13;RL;False;5.614303626059551;3.0;True;6.7;0.009408696524406212;Manipulation_RL_006;1;1;1;1;26.0
189;5;14;AD;False;6.063915367861365;4.0;True;13.7;6.2770514524933985;Manipulation_AD_004;1;0;1;0;26.0
190;5;15;RE;False;5.7098118431462;6.0;True;29.5;5.243925867329656;Manipulation_RE_006;1;1;0;0;26.0
191;5;16;RE;False;4.952606170852883;4.0;True;10.4;4.0077800321836135;Manipulation_RE_005;1;0;1;1;26.0
193;5;18;RL;False;11.077454264121899;9.0;False;45.1;0.01191444395173935;Manipulation_RL_002;1;1;0;1;26.0
194;5;19;CH;False;10.999269590355523;8.0;True;27.1;0.011251383934081436;Manipulation_CH_004;1;1;0;0;26.0
195;5;20;RE;False;10.799741510437679;8.0;False;45.1;4.28942619049841;Manipulation_RE_002;0;0;1;1;26.0
196;5;21;AD;False;11.860482721074176;10.0;False;45.1;6.153560780857082;Manipulation_AD_003;0;1;1;0;26.0
197;5;22;AD;False;5.879233691319207;4.0;True;7.3;0.009585893167009573;Manipulation_AD_001;0;1;0;0;26.0
198;5;23;CH;False;6.133158756137428;5.0;True;14.4;2.5044844517184948;Manipulation_CH_000;0;0;1;0;26.0
200;5;25;RL;False;20.722836237330398;2.0;False;45.1;0.0115562008882029;Manipulation_RL_004;0;0;1;1;26.0
202;5;27;FOV;True;7.722463965189004;1.0;True;9.5;1.7878705466413003;Manipulation_FOV_AD_000;1;1;0;1;26.0
